# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +5.081129394860749304e-36   -1.516919343488940843e-37   +2.058211407982511455e-21   -3.749637032066572880e-21
-1.860361800749999747e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -1.642327740921266024e-42   -2.624043215794786246e-58   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.653654933999999776e+04   +2.389905373953857583e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -3.206172008032299707e-35   -6.368633099873758056e-50   +2.058211407982474215e-21   -3.749637032066572880e-21
-1.446948067249999804e+04   +2.389905288177996811e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -8.190171394533689095e-29   -2.473745542092046033e-43   +2.058211326080792303e-21   -3.749637032066572880e-21
-1.240241200499999650e+04   +2.432366966293411959e-21   -2.499758021377715379e-21   +2.057906261739662059e-21   -3.749637032066572880e-21   -2.708922700818225445e-23   +3.356721529639908660e-38   +2.030817034731479963e-21   -3.749637032066572880e-21
-1.033534333749999678e+04   -1.428508158161580516e-17   -3.749637032066454014e-21   -1.291326216216809663e-17   -4.999516042755430758e-21   -1.141084246126871897e-18   -9.656299592636810906e-34   -1.405434640829496949e-17   -4.999516042756396732e-21
-8.268274669999997059e+03   -1.121301093732874250e-13   -2.499758020634186802e-21   -1.046544104303404886e-13   -3.124697526722144318e-21   -5.950133681468543107e-15   -3.834697393179661687e-29   -1.106045441118090356e-13   -3.124697565069118397e-21
-6.201206002499997339e+03   -1.196741709059913072e-10   -3.124696947240540753e-21   -1.147674993355338267e-10   -3.749637032066502162e-21   -3.631107497377915849e-12   -1.524682152717201498e-26   -1.183986068329117425e-10   -3.749652278888029595e-21
-4.134137334999995801e+03   -1.738595838239807396e-08   -3.124637050160022986e-21   -1.703339827908455355e-08   -3.124697523230022564e-21   -2.246695494624871263e-10   +2.759253196909231811e-25   -1.725806782854704174e-08   -3.124421597910331699e-21
-2.067068667499996081e+03   -3.463634593125488445e-07   -3.124103325932856395e-21   -3.444108091177676706e-07   -3.749636734072195500e-21   -6.549549118378123605e-10   +1.454314184274379736e-23   -3.450657640296054875e-07   -3.735093592229451767e-21
+3.637978807091712952e-12   -9.338382787453506686e-07   -2.499764577254026391e-21   -9.356037526428198070e-07   -3.124697526722144318e-21   +1.772012190387711134e-09   +4.385279900737054688e-26   -9.338317404524320644e-07   -3.124653673923137042e-21
+2.067068667500003357e+03   -3.437574300684892283e-07   -3.125270271916232291e-21   -3.444099761050912361e-07   -3.124696334744633293e-21   -6.503464576593247269e-10   +3.680475924318488362e-24   -3.450603225627505824e-07   -3.121015858820314804e-21
+4.134137335000003077e+03   -1.712957155056730042e-08   -3.124755933620188664e-21   -1.703212698475740127e-08   -3.124696930733388805e-21   -2.269785345256683627e-10   -1.024952356959581109e-24   -1.725910551928307044e-08   -3.125721883090348454e-21
+6.201206002500002796e+03   -1.158723838649038180e-10   -3.124697526722144318e-21   -1.134749133688840983e-10   -2.499756829400204354e-21   -3.699211867152702135e-12   -4.548317637584032335e-27   -1.171741252360368061e-10   -2.499761377717841864e-21
+8.268274670000002516e+03   +1.183538712762072959e-12   -3.124696930733388805e-21   +1.188075818542827337e-12   -3.124696334744633293e-21   -6.104648076823317737e-15   +3.338485335921334732e-28   +1.181971170466004083e-12   -3.124696000896099853e-21
+1.033534333750000224e+04   +1.292716508070708308e-12   -2.499757425388959866e-21   +1.292717447555097973e-12   -3.124696334744633293e-21   -1.178059811991779239e-18   -3.359787109489543243e-29   +1.292716269495285931e-12   -3.124696368342504494e-21
+1.240241200500000559e+04   +1.292730363224904549e-12   -3.124696334744633293e-21   +1.292730362688064332e-12   -3.124696930733388805e-21   -2.812260436255363274e-23   +2.360946238400903769e-30   +1.292730362659941807e-12   -3.124696928372442444e-21
+1.446948067250000167e+04   +1.292730363435016907e-12   -3.124697526722144318e-21   +1.292730362920280950e-12   -3.749636436077817368e-21   -8.667481996549600615e-29   -2.933281897950351116e-31   +1.292730362920280950e-12   -3.749636436371145526e-21
+1.653654934000000503e+04   +1.292730363435016907e-12   -3.124697526722144318e-21   +1.292730362920280950e-12   -3.749636436077817368e-21   -1.072278027568790189e-31   -1.735940220465028679e-32   +1.292730362920280950e-12   -3.749636436095177068e-21
+1.860361800750000111e+04   +1.292730363435016907e-12   -3.124697526722144318e-21   +1.292730362920280950e-12   -3.749636436077817368e-21   +1.014194974392876662e-32   +5.412558289373295904e-33   +1.292730362920280950e-12   -3.749636436072404451e-21
+2.067068667500000447e+04   +1.292730363435016907e-12   -3.124697526722144318e-21   +1.292730362920280950e-12   -3.749636436077817368e-21   +5.072935606467107805e-36   -1.421017046632839017e-37   +1.292730362920280950e-12   -3.749636436077817368e-21
