# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +1.629514613151896494e-51   +1.774012040046338020e-68   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.860361800749999747e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -6.420341609554940725e-41   +8.474491724057356240e-56   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.653654933999999776e+04   +2.389905373951241026e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -1.259891052561511687e-33   +7.603180099546035540e-49   +2.058211407981246435e-21   -3.749637032066572880e-21
-1.446948067249999804e+04   +2.389898013365415250e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -3.239946003573561554e-27   +6.424290432582612662e-42   +2.058208168036502451e-21   -3.749637032066572880e-21
-1.240241200499999650e+04   -1.100425213048403019e-20   -3.124697526722144318e-21   -8.500916606268443527e-21   -3.749637032066572880e-21   -1.080661863511402421e-21   +5.921688947973092931e-37   -9.581578469779846137e-21   -3.749637032066572128e-21
-1.033534333749999678e+04   -7.868213122456016215e-16   -3.124697526716977032e-21   -6.473003992633181156e-16   -3.124697526722144318e-21   -4.599644567300889830e-17   +6.029236568743242006e-32   -6.932968449363270139e-16   -3.124697526661851802e-21
-8.268274669999997059e+03   -6.112335117974754449e-12   -3.124697490587092128e-21   -5.245145559286235283e-12   -3.749637032066571375e-21   -2.429191057689827890e-13   +6.393812638187317630e-28   -5.488064665055218072e-12   -3.749636392685307443e-21
-6.201206002499997339e+03   -6.431233272400502352e-09   -3.124666200063180209e-21   -5.752015615357545267e-09   -3.124697524976083441e-21   -1.505833573251381557e-10   -4.579984132099837531e-25   -5.902598972682683241e-09   -3.125155523389293591e-21
-4.134137334999995801e+03   -9.223254151245112148e-07   -3.746862108420711119e-21   -8.589005525244274647e-07   -3.124678455081966418e-21   -9.528164841680925260e-09   +2.491132940549294457e-23   -8.684287173661083982e-07   -3.099767125676473644e-21
-2.067068667499996081e+03   -1.658961598358957518e-05   -3.085638807638117509e-21   -1.575428682663655071e-05   -3.742313522238318277e-21   -9.747575705536499580e-08   -1.240030619295648681e-22   -1.585176258369191401e-05   -3.866316584167882910e-21
+3.637978807091712952e-12   -2.515707415940590755e-05   -1.552584083590065457e-21   -2.516117566330391213e-05   -9.276445782456365179e-22   +1.961108246259020511e-07   +2.484905108197920864e-22   -2.496506483867801153e-05   -6.791540674258443845e-22
+2.067068667500003357e+03   -9.815258270508310715e-06   -1.230349651146844285e-21   -1.055430876762000360e-05   -1.855289156491273036e-21   -9.759798988791353460e-08   -5.609662325385077984e-23   -1.065190675750791767e-05   -1.911385779745123757e-21
+4.134137335000003077e+03   +5.304533363589982797e-06   -2.460699302293688570e-21   +5.256709873780527866e-06   -2.460699302293688570e-21   -1.006455909784504846e-08   +1.308767435618212343e-22   +5.246645314682682862e-06   -2.329822558731867359e-21
+6.201206002500002796e+03   +6.133369723881965410e-06   -2.441169942751675166e-21   +6.132939977135622509e-06   -4.335517818326975010e-21   -1.690493537402396474e-10   +2.573305728518802368e-25   +6.132770927781882625e-06   -4.335260487754123197e-21
+8.268274670000002516e+03   +6.138839820773912424e-06   -2.441169942751675166e-21   +6.138839365350958742e-06   -3.691048953440533043e-21   -2.871708239791166483e-13   -4.505087059751619003e-28   +6.138839078180134343e-06   -3.691049403949238772e-21
+1.033534333750000224e+04   +6.138844749165279851e-06   -3.085638807638117509e-21   +6.138844749105806280e-06   -3.085638807638117509e-21   -5.703933044685217845e-17   -2.239276290457290087e-31   +6.138844749048767081e-06   -3.085638807862045233e-21
+1.240241200500000559e+04   +6.138844749770281604e-06   -1.835759796949259631e-21   +6.138844749770284145e-06   -3.066109448096104104e-21   -1.401347267357661833e-21   -2.656395774968102748e-36   +6.138844749770282451e-06   -3.066109448096106738e-21
+1.446948067250000167e+04   +6.138844749770292615e-06   -1.191290932062817476e-21   +6.138844749770294309e-06   -2.460699302293688570e-21   -4.379837539336613017e-27   +6.817250833225880836e-42   +6.138844749770294309e-06   -2.460699302293688570e-21
+1.653654934000000503e+04   +6.138844749770292615e-06   -1.191290932062817476e-21   +6.138844749770294309e-06   -2.460699302293688570e-21   -1.769806900668063865e-33   -9.015198813711666415e-49   +6.138844749770294309e-06   -2.460699302293688570e-21
+1.860361800750000111e+04   +6.138844749770292615e-06   -1.191290932062817476e-21   +6.138844749770294309e-06   -2.460699302293688570e-21   -9.340483468759043702e-41   +1.204767712002688475e-55   +6.138844749770294309e-06   -2.460699302293688570e-21
+2.067068667500000447e+04   +6.138844749770292615e-06   -1.191290932062817476e-21   +6.138844749770294309e-06   -2.460699302293688570e-21   +1.635403704858584657e-51   +3.707030142379309551e-69   +6.138844749770294309e-06   -2.460699302293688570e-21
