# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +4.152733553269253323e-52   +2.852493624107265143e-69   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.860361800749999747e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -1.612716897469689170e-41   -1.313227072900294796e-56   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.653654933999999776e+04   +2.389905373953226013e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -3.164703240109320153e-34   +1.440851576203537332e-50   +2.058211407982189840e-21   -3.749637032066572880e-21
-1.446948067249999804e+04   +2.389903525057658591e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -8.138376405199929460e-28   +1.708156941715199645e-43   +2.058210594144865520e-21   -3.749637032066572880e-21
-1.240241200499999650e+04   -9.569588252251304550e-22   -3.124697526722144318e-21   -8.315235117497893933e-23   -3.124697526722144318e-21   -2.714499872004036139e-22   -3.479830401161997318e-37   -3.546023383753825532e-22   -3.124697526722144694e-21
-1.033534333749999678e+04   -1.976388900928822535e-16   -2.499758021376501516e-21   -1.625926843570040910e-16   -3.124697526722144318e-21   -1.155378477836945368e-17   -8.662112227435895090e-32   -1.741464691353735401e-16   -3.124697526808765274e-21
-8.268274669999997059e+03   -1.535349163425398048e-12   -2.499758012289777464e-21   -1.317520994442011497e-12   -2.499758021377715379e-21   -6.101852057354763495e-14   +2.570638698900249173e-28   -1.378539515015559057e-12   -2.499757764313845536e-21
-6.201206002499997339e+03   -1.615449208046058190e-09   -2.499750864565476495e-21   -1.444837451014679669e-09   -3.124697526685767940e-21   -3.782482656833277253e-11   -1.584083639381866030e-25   -1.482662277583012526e-09   -3.124855935049706033e-21
-4.134137334999995801e+03   -2.310552593470427259e-07   -3.123860758509345574e-21   -2.151342501038248844e-07   -2.499756829400204354e-21   -2.388881336600393043e-09   -7.603145328968157648e-24   -2.175231314404252700e-07   -2.507359974729172670e-21
-2.067068667499996081e+03   -4.467158379514012715e-06   -3.117221443772467273e-21   -4.316449695946706108e-06   -3.124392380479300188e-21   -7.968165218032349087e-09   -3.177578461945099834e-22   -4.324417861164738528e-06   -3.442150226673810500e-21
+3.637978807091712952e-12   -1.132409833645199671e-05   -1.874208223547598556e-21   -1.133879874265672800e-05   -3.124697526722144318e-21   +2.267073871478964796e-08   +2.883255718228350021e-27   -1.131612800394193875e-05   -3.124694643466426222e-21
+2.067068667500003357e+03   -4.161758334588509555e-06   -3.130800451579023530e-21   -4.301456138550648653e-06   -3.748416447095197113e-21   -7.747647204090840906e-09   -1.219271178124404468e-22   -4.309203785754739217e-06   -3.870343564907637912e-21
+4.134137335000003077e+03   -1.804601465387841742e-07   -2.498537436406339612e-21   -1.926424469889244543e-07   -3.124697526722144318e-21   -2.562207080553683068e-09   -1.389044482952985310e-23   -1.952046540694781377e-07   -3.138587971551674235e-21
+6.201206002500002796e+03   +2.151148769229598865e-08   -1.872377346090534906e-21   +2.140204779697033588e-08   -3.123476941750768550e-21   -4.304877370656502461e-11   -5.465233739337135549e-26   +2.135899902326377236e-08   -3.123531594088162033e-21
+8.268274670000002516e+03   +2.284808408390014287e-08   -2.498537436406339612e-21   +2.284796808445987225e-08   -2.497316851434963844e-21   -7.314178581943332177e-14   +1.818642932934399905e-29   +2.284789494267405434e-08   -2.497316833248534521e-21
+1.033534333750000224e+04   +2.284928764855120460e-08   -2.497316851434963844e-21   +2.284928763339738151e-08   -2.497316851434963844e-21   -1.453026234929748045e-17   +1.358262099026955731e-32   +2.284928761886712026e-08   -2.497316851421381148e-21
+1.240241200500000559e+04   +2.284928779626033704e-08   -3.122256356779392407e-21   +2.284928779626036682e-08   -3.747195862123821346e-21   -3.570317212533009225e-22   +7.101634327290673955e-37   +2.284928779626000948e-08   -3.747195862123820593e-21
+1.446948067250000167e+04   +2.284928779626337445e-08   -3.747195862123821346e-21   +2.284928779626324872e-08   -3.122256356779392407e-21   -1.116011534942316166e-27   -3.806256701456269412e-42   +2.284928779626324872e-08   -3.122256356779392407e-21
+1.653654934000000503e+04   +2.284928779626337445e-08   -3.747195862123821346e-21   +2.284928779626324872e-08   -3.122256356779392407e-21   -4.509963939038496624e-34   -1.153358148496924931e-50   +2.284928779626324872e-08   -3.122256356779392407e-21
+1.860361800750000111e+04   +2.284928779626337445e-08   -3.747195862123821346e-21   +2.284928779626324872e-08   -3.122256356779392407e-21   -2.380341003492949111e-41   -2.868986384971004121e-56   +2.284928779626324872e-08   -3.122256356779392407e-21
+2.067068667500000447e+04   +2.284928779626337445e-08   -3.747195862123821346e-21   +2.284928779626324872e-08   -3.122256356779392407e-21   +4.167763868044433358e-52   -2.705470034268613677e-69   +2.284928779626324872e-08   -3.122256356779392407e-21
