# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -1.826449911766401290e-43   -3.411799926670745121e-44   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.901703174099999887e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -3.575005369018994471e-44   -2.283510380242317421e-60   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.736337680699999692e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -3.957185120819977521e-38   +4.644796191286333595e-53   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.570972187299999678e+04   +1.768271910187675900e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -1.194601417578413362e-32   -9.487080172444941170e-48   +1.774507355698792824e-20   +1.199883850261303231e-20
-1.405606693899999664e+04   +1.768271792721459649e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -9.792378746827361389e-28   -1.666118640351402871e-42   +1.774507257776200152e-20   +1.199883850261303231e-20
-1.240241200499999650e+04   +1.765259530330910443e-20   +1.199883850261303231e-20   +1.765133263119821129e-20   +1.199883850261303231e-20   -2.166480922755320762e-23   +5.172508750769359044e-38   +1.762966782197065741e-20   +1.199883850261303231e-20
-1.074875707099999636e+04   -1.495665414320393392e-18   +1.114177860956924483e-20   -1.317322816894649008e-18   +1.114177860956924483e-20   -1.282403518656586346e-19   -6.347764379113582883e-34   -1.445563168760307595e-18   +1.114177860956860987e-20
-9.095102136999996219e+03   -3.183490605934767707e-15   +1.199883850261303231e-20   -2.890096916499181171e-15   +1.028471871652545584e-20   -2.003905698607829211e-16   -1.194316739201906556e-32   -3.090487486359964166e-15   +1.028471871651351206e-20
-7.441447202999996080e+03   -1.866748429177935184e-12   +1.028471871652545584e-20   -1.739401147366288330e-12   +1.028471871652545584e-20   -8.084312033865416782e-14   +5.985967779963450169e-29   -1.820244267704942687e-12   +1.028471877638513398e-20
-5.787792268999995940e+03   -3.052754236969604694e-10   +9.427658823481668354e-21   -2.910633390199952005e-10   +1.199883850261303231e-20   -8.075820328145557440e-12   -7.836438044432730468e-27   -2.991391593481407773e-10   +1.199883066617498780e-20
-4.134137334999995801e+03   -1.392989122441694866e-08   +1.114177860956924483e-20   -1.354207808415770771e-08   +1.285589839565682130e-20   -1.814006724115673475e-10   -2.644357387295246688e-25   -1.372347875656927431e-08   +1.285563395991809129e-20
-2.480482400999997481e+03   -1.778505356643491192e-07   +1.028471871652545584e-20   -1.755914076491590838e-07   +1.114177860956924483e-20   -6.395920379518979597e-10   +2.530674733261992776e-24   -1.762309996871109906e-07   +1.114430928430250730e-20
-8.268274669999955222e+02   -6.340380521370266965e-07   +1.114177860956924483e-20   -6.328913548238564180e-07   +1.199883850261303231e-20   +8.217565934607189270e-10   -1.012269893304797110e-23   -6.320695982303957068e-07   +1.198871580367998394e-20
+8.268274670000027982e+02   -6.301054081895661201e-07   +1.028471871652545584e-20   -6.328912250625685716e-07   +1.285589839565682130e-20   +8.395262406728986028e-10   -1.012269893304797110e-23   -6.320516988218956204e-07   +1.284577569672377293e-20
+2.480482401000004756e+03   -1.745924707248105302e-07   +1.199883850261303231e-20   -1.755904214535304421e-07   +1.028471871652545584e-20   -6.390230323348153887e-10   -7.908358541443728343e-24   -1.762294444858652506e-07   +1.027681035798401194e-20
+4.134137335000003077e+03   -1.351440343444617041e-08   +1.114177860956924483e-20   -1.354082698265184184e-08   +1.028471871652545584e-20   -1.849112085657398762e-10   +1.650869845526378301e-24   -1.372573819121758112e-08   +1.028636958637098163e-20
+5.787792269000005035e+03   -2.917756093158879114e-10   +9.427658823481668354e-21   -2.897912023746653557e-10   +1.114177860956924483e-20   -8.338165089751674277e-12   -5.903514351875459488e-26   -2.981293674644170251e-10   +1.114171957442572631e-20
