# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +6.741650518130274577e-52   -8.883868594805962742e-69   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.901703174099999887e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -7.221591162536176357e-43   +1.598741399471997961e-57   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.736337680699999692e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -8.014853008982667576e-37   -8.012918353377019150e-52   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.570972187299999678e+04   +1.768271910136094380e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -2.427743322169484624e-31   -3.406947968970016172e-46   +1.774507355675709952e-20   +1.199883850261303231e-20
-1.405606693899999664e+04   +1.768267255735683601e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -1.998469972250748568e-26   -1.009032272939387035e-40   +1.774505357230015140e-20   +1.199883850261303231e-20
-1.240241200499999650e+04   +1.178824339850947891e-20   +1.199883850261303231e-20   +1.303124414525904085e-20   +1.114177860956924483e-20   -4.444260635538293627e-22   +1.208300268364075388e-36   +1.258681808170521168e-20   +1.114177860956924633e-20
-1.074875707099999636e+04   -4.133411968115396125e-17   +1.114177860956924483e-20   -3.351941238050275980e-17   +1.028471871652545584e-20   -2.647057791073421395e-18   +4.090257680617773264e-33   -3.616647017157617927e-17   +1.028471871652954543e-20
-9.095102136999996219e+03   -8.644707144133005469e-14   +1.114177860956924483e-20   -7.259638049754871849e-14   +1.028471871652545584e-20   -4.167104386345553940e-15   +3.997785218854951788e-29   -7.676348488389426849e-14   +1.028471875650330777e-20
-7.441447202999996080e+03   -5.026612318323673506e-11   +1.028471871652545584e-20   -4.369178184361622646e-11   +1.114177860956924483e-20   -1.696036878723657858e-12   +1.752534174227980738e-27   -4.538781872233988210e-11   +1.114178036210341909e-20
-5.787792268999995940e+03   -8.131998244608727833e-09   +1.199883850261303231e-20   -7.311214827222215249e-09   +1.114177860956924483e-20   -1.712376311415758948e-10   -3.787362332727870687e-25   -7.482452458363791816e-09   +1.114139987333597228e-20
-4.134137334999995801e+03   -3.680874478897372376e-07   +1.285589839565682130e-20   -3.420948793700972604e-07   +1.114177860956924483e-20   -3.899914475755617710e-09   +3.796012099892989898e-24   -3.459947938458528839e-07   +1.114557462166913778e-20
-2.480482400999997481e+03   -4.592942526703244866e-06   +1.114177860956924483e-20   -4.399344105907499844e-06   +1.199883850261303231e-20   -1.509519078930294841e-08   +1.619631829287675377e-22   -4.414439296696803040e-06   +1.216080168554180032e-20
-8.268274669999955222e+02   -1.503546886858904409e-05   +1.114177860956924483e-20   -1.475649417804876870e-05   +1.028471871652545584e-20   +1.369226948990967634e-08   +6.478527317150701506e-22   -1.474280190855885905e-05   +1.093257144824052637e-20
+8.268274670000027982e+02   -1.442876092728098969e-05   +8.570598930437880869e-21   -1.473683756568174197e-05   +1.114177860956924483e-20   +1.948262613144348899e-08   -1.295705463430140301e-21   -1.471735493955029870e-05   +9.846073146139105280e-21
+2.480482401000004756e+03   -4.122296545903752783e-06   +1.285589839565682130e-20   -4.293753700959285617e-06   +1.028471871652545584e-20   -1.532435973112562784e-08   -4.858895487863027070e-22   -4.309078060690411043e-06   +9.798829167739153320e-21
+4.134137335000003077e+03   -1.965068175433888131e-07   +1.028471871652545584e-20   -2.163238201091606374e-07   +1.114177860956924483e-20   -4.169443010985725902e-09   -4.175613309882288447e-23   -2.204932631201463716e-07   +1.110002247647042234e-20
+5.787792269000005035e+03   +1.204986456974258409e-07   +9.427658823481668354e-21   +1.199555374595603529e-07   +1.199883850261303231e-20   -1.919177383453529667e-10   -6.227832351386935978e-25   +1.197636197212149981e-07   +1.199821571937789351e-20
+7.441447203000003356e+03   +1.272592754977439360e-07   +1.114177860956924483e-20   +1.272555170863578475e-07   +1.285589839565682130e-20   -1.981816462175201260e-12   -6.023944982740339518e-27   +1.272535352698956830e-07   +1.285589237171183866e-20
+9.095102137000005314e+03   +1.272993378156973725e-07   +1.028471871652545584e-20   +1.272993310500530200e-07   +1.199883850261303231e-20   -5.062232784145800618e-15   +0.000000000000000000e+00   +1.272993259878202472e-07   +1.199883850261303231e-20
+1.074875707100000363e+04   +1.272994039401422896e-07   +1.114177860956924483e-20   +1.272994039369375404e-07   +1.114177860956924483e-20   -3.335954521693141867e-18   +1.222628651074747453e-32   +1.272994039336015806e-07   +1.114177860958147147e-20
+1.240241200500000559e+04   +1.272994039706207056e-07   +1.199883850261303231e-20   +1.272994039706206261e-07   +1.285589839565682130e-20   -5.798983582329020981e-22   -5.034827135214627248e-37   +1.272994039706200438e-07   +1.285589839565682130e-20
