# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +1.302580795687012519e-19   +1.036936660719644981e-20   +1.298550514525231294e-19   +1.036936660719644981e-20   -1.471090611107995532e-18   -7.363039710689750444e-32   -1.341235559655472450e-18   +1.036936660712281911e-20
-1.901703174099999887e+04   +1.302580795687012519e-19   +1.036936660719644981e-20   +1.298550514525231294e-19   +1.036936660719644981e-20   -1.001927368233428557e-40   -3.126667894866541084e-55   +1.298550514525231294e-19   +1.036936660719644981e-20
-1.736337680699999692e+04   +1.302580795687011556e-19   +1.036936660719644981e-20   +1.298550514525231294e-19   +1.036936660719644981e-20   -1.106511425374276037e-34   -8.312271140608809765e-50   +1.298550514525230090e-19   +1.036936660719644981e-20
-1.570972187299999678e+04   +1.302580795337229456e-19   +1.036936660719644981e-20   +1.298550514525231294e-19   +1.036936660719644981e-20   -3.332510521254294849e-29   -8.177544356308053115e-44   +1.298550514191980172e-19   +1.036936660719644981e-20
-1.405606693899999664e+04   +1.302551820535612960e-19   +1.036936660719644981e-20   +1.298550514525231294e-19   +1.036936660719644981e-20   -2.725091630170902468e-24   -1.215763745482493561e-40   +1.298523263608929692e-19   +1.036936660719644981e-20
-1.240241200499999650e+04   -3.654389012893035418e-19   +9.332429946476810099e-21   -2.950743011494917133e-19   +1.036936660719644981e-20   -6.013871439876740220e-20   -1.019377982012521927e-34   -3.552130155482591275e-19   +1.036936660719634750e-20
-1.074875707099999636e+04   -3.732081363512799429e-15   +9.332429946514690734e-21   -3.308277978207125605e-15   +1.140630326791609555e-20   -3.550492727578199127e-16   -1.360797697942366628e-30   -3.663327250964945715e-15   +1.140630326655529815e-20
-9.095102136999996219e+03   -7.842664675551131600e-12   +1.140630333903997369e-20   -7.161444825649447232e-12   +1.036936660719644981e-20   -5.532983459187030067e-13   +2.401768821349146643e-27   -7.714743171568150946e-12   +1.036936900896527061e-20
-7.441447202999996080e+03   -4.596536303087641877e-09   +9.332464212484709748e-21   -4.310083879274110120e-09   +8.295493285636444669e-21   -2.225809925180278293e-10   +3.542600498400391929e-26   -4.532664871792137587e-09   +8.295528711641429009e-21
-5.787792268999995940e+03   -7.633523453184092133e-07   +9.336874062452445824e-21   -7.327366009116221578e-07   +8.295491307957438256e-21   -2.221057953543040496e-08   +4.488876755357955687e-23   -7.549471804470525627e-07   +8.340380075511018178e-21
-4.134137334999995801e+03   -2.739135465798623283e-05   +2.205515670944713470e-21   -2.390883984194387221e-05   +2.581202683764038194e-21   -1.292254609606546620e-06   +2.770932618432175272e-22   -2.520109445155042010e-05   +2.858295945607255769e-21
-2.480482400999997481e+03   -3.853678551295062257e-04   -2.449762860950161259e-20   -3.686655213019483400e-04   -2.540494818763130317e-20   -1.596463636347257142e-06   -2.492553398909685583e-19   -3.702619849382956206e-04   -2.746602880785998464e-19
-8.268274669999955222e+02   -1.879445086047410070e-03   -3.370044147338846002e-20   -1.861883120010377011e-03   -3.408929272115832999e-20   +6.137972026586469619e-07   -4.859695306050329776e-20   -1.861269322807718304e-03   -8.268624578166162774e-20
+8.268274670000027982e+02   -1.681361465122695924e-03   -3.629278312518757510e-20   -1.682386099341077156e-03   -2.592341651799112378e-20   +8.347004245241745664e-07   -6.584103317874640458e-20   -1.681551398916552881e-03   -9.176444969673753137e-20
+2.480482401000004756e+03   +8.341474024953813519e-04   -2.799728983943041525e-20   +8.346381469111464023e-04   -2.644188484835094740e-20   +2.230462774544819036e-08   +2.726230280057468230e-20   +8.346604515388918698e-04   +8.204179522237348957e-22
+4.134137335000003077e+03   +1.432321476478026594e-03   -1.309132534158551855e-20   +1.432637842883151356e-03   -4.666214973238402040e-21   -3.655650539049604305e-07   +8.015802867464568481e-21   +1.432272277829246430e-03   +3.349587894226166440e-21
+5.787792269000005035e+03   +1.462495046522945289e-03   +7.906642037987292890e-21   +1.462505709994722531e-03   +1.620213532374445274e-20   -1.833229574101799889e-08   +1.369152634787818221e-21   +1.462487377698981411e-03   +1.757128795853227059e-20
+7.441447203000003356e+03   +1.463265197268565901e-03   +1.607251824115449608e-20   +1.463266038641826460e-03   +7.906642037987292890e-21   -8.674557745646688212e-10   -2.424270774385156350e-23   +1.463265171186051931e-03   +7.882399330243440779e-21
+9.095102137000005314e+03   +1.463270420644950968e-03   +1.620213532374445274e-20   +1.463270529042636544e-03   +7.777024955397337737e-21   -1.124845769754893020e-10   -9.185279866439255842e-24   +1.463270416558059553e-03   +7.767839675530898926e-21
+1.074875707100000363e+04   +1.463270561863186424e-03   +1.192477159827591766e-20   +1.463270536512593055e-03   +3.758895395108712964e-21   +2.368302259309972323e-11   -1.530901994054515691e-24   +1.463270560195615612e-03   +3.757364493114658610e-21
+1.240241200500000559e+04   +1.463270539654196569e-03   +1.633175240633440940e-20   +1.463270536516045155e-03   +3.499661229928801906e-21   +2.801683337157637034e-12   +6.697696219955049947e-25   +1.463270539317728519e-03   +3.500330999550797633e-21
+1.405606693900000391e+04   +1.463270536512734869e-03   +7.906642037987292890e-21   +1.463270536516045588e-03   +3.758895395108712964e-21   -7.618963593013757339e-14   +5.382077344034836033e-26   +1.463270536439855883e-03   +3.758949215882153532e-21
+1.570972187300000223e+04   +1.463270536575642230e-03   +7.906642037987292890e-21   +1.463270536516045588e-03   +3.758895395108712964e-21   +6.071158342400568079e-14   -2.616287596178321738e-26   +1.463270536576757224e-03   +3.758869232232750918e-21
+1.736337680700000783e+04   +1.463270536513263959e-03   +7.906642037987292890e-21   +1.463270536516045588e-03   +3.758895395108712964e-21   -1.605362536213110552e-15   -7.101352046761780963e-27   +1.463270536514440319e-03   +3.758888293756666563e-21
+1.901703174100000615e+04   +1.463270536491333368e-03   +7.906642037987292890e-21   +1.463270536516045588e-03   +3.758895395108712964e-21   -2.361192853432999888e-14   -7.848862788527946113e-27   +1.463270536492433617e-03   +3.758887546245924124e-21
+2.067068667500000447e+04   +1.463270536516238576e-03   +1.205438868086587282e-20   +1.463270536516045588e-03   +3.758895395108712964e-21   -1.473122093452776271e-18   -7.026657185835899431e-32   +1.463270536516044070e-03   +3.758895395038446613e-21
