# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -1.329328892018523918e-33   +1.830308300252740531e-46   +2.058211407981176845e-21   -3.749637032066572880e-21
-1.860361800749999747e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -6.294735239263911750e-41   -2.308691438519072391e-56   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.653654933999999776e+04   +2.389905373952404484e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -1.231107513600673224e-33   +1.370170341976967863e-48   +2.058211407981275023e-21   -3.749637032066572880e-21
-1.446948067249999804e+04   +2.389901438380095904e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -3.151794537832051189e-27   -1.434138895762724654e-42   +2.058208256187968468e-21   -3.749637032066572880e-21
-1.240241200499999650e+04   -7.495419153186016469e-21   -2.499758021377715379e-21   -6.270297571079099872e-21   -3.749637032066572880e-21   -1.045198330500717253e-21   +1.440527975213103362e-36   -7.315495901579816748e-21   -3.749637032066571375e-21
-1.033534333749999678e+04   -5.807500289129855802e-16   -3.124697526717763203e-21   -5.141677755933773638e-16   -2.499758021377715379e-21   -4.416275630069767667e-17   +3.078800398854219254e-32   -5.583305318940749974e-16   -2.499758021346927207e-21
-8.268274669999997059e+03   -4.545945989742522322e-12   -3.749637003481927416e-21   -4.166367213506193881e-12   -3.749637032066572880e-21   -2.311121060318369860e-13   +2.225118839886649982e-28   -4.397479319538030665e-12   -3.749636809554688585e-21
-6.201206002499997339e+03   -4.835083499045585045e-09   -3.749613181166955558e-21   -4.568983991906886505e-09   -3.124697526722144318e-21   -1.416304477435829862e-10   +1.438784022907719203e-25   -4.710614439650469517e-09   -3.124553648319853695e-21
-4.134137334999995801e+03   -7.045952387183853519e-07   -3.122428001540992371e-21   -6.832427714395745396e-07   -2.499753253467670904e-21   -8.825746242059135699e-09   +3.552171044857326830e-24   -6.920685176816337199e-07   -2.496201082422813513e-21
-2.067068667499996081e+03   -1.322523889140473666e-05   -3.098454949837563817e-21   -1.298732955010271120e-05   -3.124087234236456434e-21   -8.627541706437011055e-08   -6.495398482024826706e-23   -1.307360496716708189e-05   -3.189041219056704736e-21
+3.637978807091712952e-12   -2.325667328914149645e-05   -1.563569348332447926e-21   -2.337208249872703300e-05   -9.398504279593949426e-22   +3.368662096650600789e-07   -5.189860292811029404e-22   -2.303521628906197340e-05   -1.458836457240497789e-21
+2.067068667500003357e+03   -1.004114377763283967e-05   -2.526610890747983763e-21   -1.013248328030450018e-05   -2.504640361263218824e-21   -1.059805051585561162e-07   -1.688803605326454920e-21   -1.023846378546305652e-05   -4.193443966589673932e-21
+4.134137335000003077e+03   +2.410171220713057766e-06   -3.754519371952076701e-21   +2.406333337010547105e-06   -2.499758021377715379e-21   -8.990250178771739800e-09   +2.237406437345199526e-23   +2.397343086831775471e-06   -2.477383957004263222e-21
+6.201206002500002796e+03   +3.090949254824736149e-06   -1.882142025861541420e-21   +3.090966640363660716e-06   -2.504640361263218824e-21   -1.470294128806646941e-10   +4.946585591585512297e-25   +3.090819610950779978e-06   -2.504145702704060405e-21
+8.268274670000002516e+03   +3.095570751514392040e-06   -3.129579866607647386e-21   +3.095570838184597219e-06   -3.754519371952076701e-21   -2.437411782765988237e-13   +1.423501922903548568e-27   +3.095570594443419110e-06   -3.754517948450153781e-21
+1.033534333750000224e+04   +3.095575039947022473e-06   -3.134462206493150832e-21   +3.095575039970035935e-06   -4.381900047239257175e-21   -4.688637228667888632e-17   +2.126710981919337481e-33   +3.095575039923149697e-06   -4.381900047237130376e-21
+1.240241200500000559e+04   +3.095575040488626351e-06   -2.507081531205970358e-21   +3.095575040488632704e-06   -3.752078202009324415e-21   -6.455128920644084726e-21   +2.892240058393706968e-33   +3.095575040488626351e-06   -3.752078202006432510e-21
+1.446948067250000167e+04   +3.095575040488642021e-06   -2.504640361263218824e-21   +3.095575040488641174e-06   -3.132021036550399297e-21   -7.006150180403458280e-23   +2.092603570185171182e-35   +3.095575040488641174e-06   -3.132021036550378232e-21
+1.653654934000000503e+04   +3.095575040488642021e-06   -1.879700855918789885e-21   +3.095575040488641174e-06   -3.132021036550399297e-21   -1.195060116936392734e-25   +9.987803410157923401e-39   +3.095575040488641174e-06   -3.132021036550399297e-21
+1.860361800750000111e+04   +3.095575040488642021e-06   -1.879700855918789885e-21   +3.095575040488641174e-06   -3.132021036550399297e-21   +3.579048881283272615e-28   +4.527185634366704493e-42   +3.095575040488641174e-06   -3.132021036550399297e-21
+2.067068667500000447e+04   +3.095575040488642021e-06   -1.879700855918789885e-21   +3.095575040488641174e-06   -3.132021036550399297e-21   -1.376122337883406252e-33   +1.954103811128824853e-46   +3.095575040488641174e-06   -3.132021036550399297e-21
