# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -4.548059563917238710e-46   +2.129891965559970693e-48   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.901703174099999887e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -2.803915892127831315e-44   -4.904607718991291553e-59   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.736337680699999692e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -3.104894146446583689e-38   +4.221300724727655083e-53   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.570972187299999678e+04   +1.768271910187918146e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -9.377499470262681656e-33   +1.287994355273471559e-47   +1.774507355699049816e-20   +1.199883850261303231e-20
-1.405606693899999664e+04   +1.768271812564003805e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -7.691133014682865973e-28   -5.564866558018751890e-44   +1.774507278788657374e-20   +1.199883850261303231e-20
-1.240241200499999650e+04   +1.765698181563769630e-20   +1.199883850261303231e-20   +1.765133263119821129e-20   +1.199883850261303231e-20   -1.702678831357543733e-23   -4.073943982584784877e-38   +1.763430584288463578e-20   +1.199883850261303231e-20
-1.074875707099999636e+04   -1.192852305470200377e-18   +1.199883850261303231e-20   -1.042733046962675715e-18   +9.427658823481668354e-21   -1.008600775969207150e-19   +1.804600753620253536e-34   -1.143593124559596358e-18   +9.427658823481848910e-21
-9.095102136999996219e+03   -2.544974232668826532e-15   +1.114177860956924483e-20   -2.295681975604020443e-15   +1.028471871652545584e-20   -1.577369708118432373e-16   +5.008300198803434805e-31   -2.453418946415863853e-15   +1.028471871702628640e-20
-7.441447202999996080e+03   -1.491162965052990950e-12   +1.028471871652545584e-20   -1.381655438714028896e-12   +1.199883850261303231e-20   -6.369590771478971343e-14   +1.161559454738489348e-28   -1.445351346428818622e-12   +1.199883861876897734e-20
-5.787792268999995940e+03   -2.436196119234816479e-10   +1.199883850261303231e-20   -2.311998276375985167e-10   +1.199883850261303231e-20   -6.369860058899342689e-12   +7.318755272479906619e-27   -2.375696876964978828e-10   +1.199884582136830443e-20
-4.134137334999995801e+03   -1.110377505381263422e-08   +8.570598930437880869e-21   -1.075679102987587728e-08   +1.028471871652545584e-20   -1.432707026972459621e-10   -4.028320132047899331e-25   -1.090006173257312329e-08   +1.028431588451225120e-20
-2.480482400999997481e+03   -1.414724382181521032e-07   +1.199883850261303231e-20   -1.393658383255722540e-07   +1.114177860956924483e-20   -5.062171407792884201e-10   -7.908358541443728343e-24   -1.398720554663515496e-07   +1.113387025102780093e-20
-8.268274669999955222e+02   -5.045876202801022445e-07   +1.114177860956924483e-20   -5.032869234359018000e-07   +1.028471871652545584e-20   +6.487931529803738933e-10   +1.138803629967896970e-23   -5.026381302829213914e-07   +1.029610675282513470e-20
+8.268274670000027982e+02   -5.006984143163720940e-07   +1.114177860956924483e-20   -5.032868430013400442e-07   +1.114177860956924483e-20   +6.660419950524234012e-10   -1.265337366630996388e-24   -5.026208010062876620e-07   +1.114051327220261435e-20
+2.480482401000004756e+03   -1.382494289034426947e-07   +1.114177860956924483e-20   -1.393652258793638241e-07   +1.114177860956924483e-20   -5.056590598822512941e-10   -1.233703932465221533e-23   -1.398708849392460874e-07   +1.112944157024459198e-20
+4.134137335000003077e+03   -1.069301908575408009e-08   +1.199883850261303231e-20   -1.075601365917920411e-08   +1.028471871652545584e-20   -1.466843070860993067e-10   +7.142236307741367779e-25   -1.090269796626530296e-08   +1.028543294015622988e-20
+5.787792269000005035e+03   -2.307207853583804594e-10   +1.199883850261303231e-20   -2.304093573501214547e-10   +1.199883850261303231e-20   -6.625076851255233330e-12   -3.694734524870667757e-26   -2.370344342013766759e-10   +1.199880155526778399e-20
+7.441447203000003356e+03   -6.096314111001970511e-13   +1.114177860956924483e-20   -5.908992022071698848e-13   +1.114177860956924483e-20   -6.715274154208292568e-14   -1.416170766539879957e-28   -6.580519437492528105e-13   +1.114177846795216890e-20
+9.095102137000005314e+03   +7.883918382153595530e-13   +9.427658823481668354e-21   +7.884622706749157787e-13   +1.114177860956924483e-20   -1.683509859633278081e-16   -6.454763469108242355e-31   +7.882939196889524909e-13   +1.114177860892376790e-20
+1.074875707100000363e+04   +7.907568571812220589e-13   +1.028471871652545584e-20   +7.907569129855630874e-13   +9.427658823481668354e-21   -1.088589674779709199e-19   +1.976910334892902502e-34   +7.907568041265955902e-13   +9.427658823481865461e-21
+1.240241200500000559e+04   +7.907579732665200372e-13   +1.114177860956924483e-20   +7.907579732657336501e-13   +1.199883850261303231e-20   -1.856527586902410443e-23   +1.732362062138915479e-36   +7.907579732471683325e-13   +1.199883850261303382e-20
+1.405606693900000391e+04   +7.907579733333367830e-13   +1.114177860956924483e-20   +7.907579733192998552e-13   +1.199883850261303231e-20   -8.463606990394302530e-28   -3.353978110791227570e-38   +7.907579733192990474e-13   +1.199883850261303231e-20
+1.570972187300000223e+04   +7.907579733333367830e-13   +1.114177860956924483e-20   +7.907579733192998552e-13   +1.199883850261303231e-20   -1.040454232410082794e-32   -2.128941973246125314e-39   +7.907579733192998552e-13   +1.199883850261303231e-20
+1.736337680700000783e+04   +7.907579733333367830e-13   +1.114177860956924483e-20   +7.907579733192998552e-13   +1.199883850261303231e-20   -3.009735993134670746e-38   +7.494586502225797742e-41   +7.907579733192998552e-13   +1.199883850261303231e-20
+1.901703174100000615e+04   +7.907579733333367830e-13   +1.114177860956924483e-20   +7.907579733192998552e-13   +1.199883850261303231e-20   +6.810174193347037069e-41   +2.300663564753224468e-43   +7.907579733192998552e-13   +1.199883850261303231e-20
+2.067068667500000447e+04   +7.907579733333367830e-13   +1.114177860956924483e-20   +7.907579733192998552e-13   +1.199883850261303231e-20   -4.607198322277546182e-46   +2.074755271713599740e-48   +7.907579733192998552e-13   +1.199883850261303231e-20
