# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +2.357254725969586090e-21   -5.468220671763751709e-21   +2.670792490491754261e-21   -6.249395053444287883e-21   +1.038170494284493138e-53   +3.177890472488307251e-71   +2.670792490491754261e-21   -6.249395053444287883e-21
-1.860361800749999747e+04   +2.357254725969586090e-21   -5.468220671763751709e-21   +2.670792490491754261e-21   -6.249395053444287883e-21   -3.775720644495292135e-43   +1.551158258771074318e-58   +2.670792490491754261e-21   -6.249395053444287883e-21
-1.653654933999999776e+04   +2.357254725969568787e-21   -5.468220671763751709e-21   +2.670792490491754261e-21   -6.249395053444287883e-21   -7.409111805211983104e-36   -1.071512939892373360e-52   +2.670792490491746738e-21   -6.249395053444287883e-21
-1.446948067249999804e+04   +2.357254675584219010e-21   -5.468220671763751709e-21   +2.670792490491754261e-21   -6.249395053444287883e-21   -1.905607003097396711e-29   +3.003488760525472019e-44   +2.670792471435684061e-21   -6.249395053444287883e-21
-1.240241200499999650e+04   +2.338620010533897560e-21   -5.468220671763751709e-21   +2.670792490491754261e-21   -6.249395053444287883e-21   -6.358199532133779429e-24   +1.939370004032289139e-39   +2.664434290959620312e-21   -6.249395053444287883e-21
-1.033534333749999678e+04   -5.037388180981791166e-18   -5.663514267183885753e-21   -4.076354062817171310e-18   -8.007037412225493521e-21   -2.707840325230221011e-19   -1.218329759831203581e-33   -4.347138095340193363e-18   -8.007037412226712273e-21
-8.268274669999997059e+03   -3.909034413370640313e-14   -6.444688648864421926e-21   -3.305025795408094266e-14   -7.225863030544957347e-21   -1.431353131266988223e-15   -1.708074441026451119e-30   -3.448161108534792989e-14   -7.225863032253031513e-21
-6.201206002499997339e+03   -4.103956021384815959e-11   -4.687046290083215536e-21   -3.624401123376864468e-11   -5.663514267183885753e-21   -8.884289669026597113e-13   +3.714242728697182384e-28   -3.713244020067130732e-11   -5.663513895759612742e-21
-4.134137334999995801e+03   -5.834103361283413756e-09   -5.663514267183885753e-21   -5.379095993740926687e-09   -7.225863030544957347e-21   -5.621176947980977112e-11   +4.246044553797217916e-26   -5.435307763220736768e-09   -7.225820570099419806e-21
-2.067068667499996081e+03   -1.124237771886717977e-07   -6.444688648864421926e-21   -1.081027828840499830e-07   -6.249395053444287883e-21   -1.724463119799069300e-10   +5.233109128584454829e-24   -1.082752291960298858e-07   -6.244161944315703475e-21
+3.637978807091712952e-12   -2.943429829632259010e-07   -6.249395053444287883e-21   -2.946422604878232571e-07   -7.225863030544957347e-21   +4.562927991902600733e-10   -8.649767154685048412e-26   -2.941859676886330190e-07   -7.225949528216503985e-21
+2.067068667500003357e+03   -1.040016206372478523e-07   -7.225863030544957347e-21   -1.081025775689428451e-07   -6.249395053444287883e-21   -1.632569308289568912e-10   -2.739092932316932035e-25   -1.082658344997717974e-07   -6.249668962737519406e-21
+4.134137335000003077e+03   -5.000662989601934901e-09   -6.639982244284555969e-21   -5.378767545063826239e-09   -7.225863030544957347e-21   -6.079117876901431790e-11   +7.208139295570874442e-26   -5.439558723832840492e-09   -7.225790949152001564e-21
+6.201206002500002796e+03   -3.237683503555686021e-11   -5.858807862604019796e-21   -3.590938958103153212e-11   -6.444688648864421926e-21   -1.026302161929878501e-12   -3.577246451821274706e-27   -3.693569174296141021e-11   -6.444692226110874061e-21
+8.268274670000002516e+03   +3.055429816407985451e-13   -6.444688648864421926e-21   +3.016132243098099763e-13   -6.444688648864421926e-21   -1.752384847657068916e-15   -3.204263007124630101e-30   +2.998608394621529151e-13   -6.444688652068684862e-21
+1.033534333750000224e+04   +3.346599903692794203e-13   -5.663514267183885753e-21   +3.346594438365537597e-13   -6.444688648864421926e-21   -3.500587701130483780e-19   -9.960001682753798638e-34   +3.346590937777836474e-13   -6.444688648865417993e-21
+1.240241200500000559e+04   +3.346635228110770148e-13   -5.468220671763751709e-21   +3.346635231535205998e-13   -7.811743816805360230e-21   -8.654828183951299230e-24   +2.188206106871278668e-38   +3.346635231448657480e-13   -7.811743816805360230e-21
+1.446948067250000167e+04   +3.346635228021044983e-13   -5.468220671763751709e-21   +3.346635232084469272e-13   -7.811743816805360230e-21   -2.723845975159048440e-29   -6.879139574454274446e-44   +3.346635232084468768e-13   -7.811743816805360230e-21
+1.653654934000000503e+04   +3.346635228021044983e-13   -5.468220671763751709e-21   +3.346635232084469272e-13   -7.811743816805360230e-21   -1.108930565465943564e-35   +5.637528193860994922e-51   +3.346635232084469272e-13   -7.811743816805360230e-21
+1.860361800750000111e+04   +3.346635228021044983e-13   -5.468220671763751709e-21   +3.346635232084469272e-13   -7.811743816805360230e-21   -5.899321568189648089e-43   -4.882311536366220097e-58   +3.346635232084469272e-13   -7.811743816805360230e-21
+2.067068667500000447e+04   +3.346635228021044983e-13   -5.468220671763751709e-21   +3.346635232084469272e-13   -7.811743816805360230e-21   +1.041924858791524057e-53   -6.061144623923939700e-74   +3.346635232084469272e-13   -7.811743816805360230e-21
