# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +8.252756356717030388e-52   -3.414203465174427173e-69   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.860361800749999747e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -3.217793250234827817e-41   -1.924945332336392822e-56   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.653654933999999776e+04   +2.389905373952563222e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -6.314413113050617489e-34   +6.057664923282957171e-49   +2.058211407981874619e-21   -3.749637032066572880e-21
-1.446948067249999804e+04   +2.389901684920914740e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -1.623819574632616802e-27   -6.919036873408462693e-43   +2.058209784162931710e-21   -3.749637032066572880e-21
-1.240241200499999650e+04   -4.596909060114093604e-21   -2.499758021377715379e-21   -3.074958689138578981e-21   -3.749637032066572880e-21   -5.416139298597513209e-22   -2.641251299775344515e-36   -3.616572618998330490e-21   -3.749637032066575889e-21
-1.033534333749999678e+04   -3.943431619171601159e-16   -3.749637032064066162e-21   -3.244163701251417552e-16   -3.124697526722144318e-21   -2.305283136353966703e-17   +1.013762981248154258e-31   -3.474692014886814037e-16   -3.124697526620768180e-21
-8.268274669999997059e+03   -3.063424328259664298e-12   -3.749637014888233970e-21   -2.628799992278147678e-12   -2.499758021377715003e-21   -1.217479546155361116e-13   -1.865520798630680202e-28   -2.750547946893683815e-12   -2.499758207929794696e-21
-6.201206002499997339e+03   -3.223246349227208668e-09   -2.499744701843857272e-21   -2.882831138070500897e-09   -3.749637031921068120e-21   -7.547045207924509310e-11   +1.041463501033497989e-25   -2.958301590149746016e-09   -3.749532885570964913e-21
-4.134137334999995801e+03   -4.631638433162050659e-07   -2.498241825983584431e-21   -4.313930106308920696e-07   -1.874813748123241965e-21   -4.768240631756248557e-09   +2.998585946957483731e-23   -4.361612512626483413e-07   -1.844827888653667204e-21
-2.067068667499996081e+03   -8.798726205948046933e-06   -3.109440214579946099e-21   -8.479007298218662879e-06   -1.874818516033286440e-21   -2.040852387129631633e-08   +3.542944626558996065e-23   -8.499415822089959453e-06   -1.839389069767696491e-21
+3.637978807091712952e-12   -1.916033709160223718e-05   -2.802463094278922958e-21   -1.916332804744954216e-05   -2.492434511549460399e-21   +8.821792137360569995e-08   +9.615369494719724595e-23   -1.907511012607593503e-05   -2.396280816602263294e-21
+2.067068667500003357e+03   -7.793394055378323804e-06   -3.129579866607647386e-21   -8.088173784330299332e-06   -3.739872352295566742e-21   -2.095996297334392794e-08   -3.406393635743701509e-22   -8.109133747303644074e-06   -4.080511715869936658e-21
+4.134137335000003077e+03   +6.429083761694733359e-08   -3.114932846951137427e-21   +4.007314542789318630e-08   -3.119815186836640872e-21   -5.095004278171807104e-09   -5.032146205023939460e-23   +3.497814114972137755e-08   -3.170136648886880332e-21
+6.201206002500002796e+03   +4.720371633896679411e-07   -3.739872352295566742e-21   +4.718196175500911341e-07   -3.114932846951137427e-21   -8.557413074078813848e-11   +2.174155015026564703e-25   +4.717340434193503466e-07   -3.114715431449634732e-21
+8.268274670000002516e+03   +4.747217681673897639e-07   -3.114932846951137427e-21   +4.747215375970681466e-07   -3.739872352295566742e-21   -1.453846464063926804e-13   -2.573706962846383737e-29   +4.747213922124217536e-07   -3.739872378032636010e-21
+1.033534333750000224e+04   +4.747241859210920479e-07   -3.114932846951137427e-21   +4.747241858909740974e-07   -1.860171496376776481e-21   -2.888023897558580197e-17   +4.532687042272527150e-33   +4.747241858620938738e-07   -1.860171496372243775e-21
+1.240241200500000559e+04   +4.747241862178340532e-07   -3.744754692181069811e-21   +4.747241862178342121e-07   -3.114932846951137427e-21   -7.095980908815787431e-22   -1.582397655930221221e-36   +4.747241862178335238e-07   -3.114932846951138932e-21
+1.446948067250000167e+04   +4.747241862178396648e-07   -3.110050507065634358e-21   +4.747241862178401413e-07   -4.364811857639994929e-21   -2.217976064848487068e-27   -3.518661747009836728e-42   +4.747241862178401413e-07   -4.364811857639994929e-21
+1.653654934000000503e+04   +4.747241862178396648e-07   -3.110050507065634358e-21   +4.747241862178401413e-07   -4.364811857639994929e-21   -8.962895851586087965e-34   +4.215440186041102919e-49   +4.747241862178401413e-07   -4.364811857639994929e-21
+1.860361800750000111e+04   +4.747241862178396648e-07   -3.110050507065634358e-21   +4.747241862178401413e-07   -4.364811857639994929e-21   -4.730493414539809620e-41   -5.326388225262623677e-56   +4.747241862178401413e-07   -4.364811857639994929e-21
+2.067068667500000447e+04   +4.747241862178396648e-07   -3.110050507065634358e-21   +4.747241862178401413e-07   -4.364811857639994929e-21   +8.282614034637214319e-52   +7.490848766279332416e-69   +4.747241862178401413e-07   -4.364811857639994929e-21
