# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +2.825588932272748425e-39   +4.902991565778852768e-48   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.963715234124999552e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -9.205723755670024503e-48   -3.385970626685257687e-62   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.860361800749999747e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -5.811241357727101145e-44   -2.273944871885754143e-59   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.757008367374999580e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +1.058134182846790797e-39   +2.824348661167962348e-54   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.653654933999999776e+04   +2.389905373953885418e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -4.084910509470103811e-36   +1.312977602329312995e-50   +2.058211407982502051e-21   -3.749637032066572880e-21
-1.550301500624999608e+04   +2.389905373959377704e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +3.821026087806151610e-33   +2.279961770940801702e-49   +2.058211407986327203e-21   -3.749637032066572880e-21
-1.446948067249999804e+04   +2.389905378523974236e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +5.288215022454230286e-30   -3.183254586449792844e-45   +2.058211413270721244e-21   -3.749637032066572880e-21
-1.343594633874999636e+04   +2.389893949098981552e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -1.017218404026062500e-26   +6.095516568473827515e-42   +2.058201235798465996e-21   -3.749637032066572880e-21
-1.240241200499999650e+04   +2.395910947939893462e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +4.719324693463671486e-24   -1.663981235916251728e-38   +2.062930732675969876e-21   -3.749637032066572880e-21
-1.136887767124999664e+04   -8.350977124367376494e-21   -2.499758021377715379e-21   -7.379656736938314552e-21   -3.749637032066572880e-21   -4.035858315770365732e-22   -5.047381720316827099e-36   -7.783242568515350420e-21   -3.749637032066578146e-21
-1.033534333749999678e+04   +1.082778919231650356e-18   -3.749637032066573632e-21   +1.231034399315786153e-18   -3.749637032066572880e-21   -1.590480546626951122e-19   +1.408271325619529247e-34   +1.071986344653091113e-18   -3.749637032066432197e-21
-9.301809003749996918e+03   +6.037615078342519500e-17   -2.499758021379493855e-21   +2.028422970726571688e-17   -3.124697526722144318e-21   +3.153511545275412082e-17   +7.419204180482002488e-32   +5.181934516001983462e-17   -3.124697526647952380e-21
-8.268274669999997059e+03   -1.605099769097285199e-14   -2.499758021210442721e-21   -1.348380122722312293e-14   -2.499758021377715379e-21   -1.626111985726841398e-15   +1.280709339211005420e-29   -1.510991321294996393e-14   -2.499758008570622048e-21
-7.234740336249997199e+03   +8.766671238573564064e-13   -2.499758027027977052e-21   +8.443614318685435559e-13   -3.749637032066572880e-21   +1.450525253463719411e-15   -1.062751848746993266e-29   +8.458119571220073254e-13   -3.749637042694091293e-21
-6.201206002499997339e+03   -1.670964964659586036e-11   -3.124697522220439178e-21   -1.820348435116242058e-11   -2.499758021377713122e-21   +1.570717344783442498e-12   -8.090185371497736818e-28   -1.663276700637897728e-11   -2.499758830396250130e-21
-5.167671668749997480e+03   +3.406215536763753445e-11   -3.749634896886566139e-21   +7.582389010567763484e-11   -3.124697526719870817e-21   -3.076669417892844514e-11   +1.757409824814248509e-25   +4.505719592674918970e-11   -3.124521785737389435e-21
-4.134137334999995801e+03   +2.155485099162571920e-09   -3.124726314608694137e-21   +1.853024304554137164e-09   -2.499758021377715379e-21   +1.428056546754188270e-10   -4.848262066485533942e-25   +1.995829959229556069e-09   -2.500242847584363962e-21
-3.100603001249997760e+03   -2.202095285564463234e-08   -2.499638637380118493e-21   -2.188790388360157250e-08   -3.124697517409819766e-21   +5.584260566928873769e-10   +6.690279538084141031e-25   -2.132947782690868367e-08   -3.124028489456011232e-21
-2.067068667499996081e+03   +7.871293909317853621e-08   -3.124709371998660783e-21   +8.360658311073239046e-08   -3.749637032066572880e-21   -5.053281895349092151e-09   +3.057962994391294019e-24   +7.855330121538329500e-08   -3.746579069072181721e-21
-1.033534333749998041e+03   -1.005186876827302519e-07   -3.750494063897060548e-21   -1.142010670784054422e-07   -3.124697526722144318e-21   +8.978792673396411322e-09   +3.535159836135333949e-23   -1.052222744050090308e-07   -3.089345928360790990e-21
+3.637978807091712952e-12   -9.483933247852159517e-09   -4.372988823366204126e-21   -3.699499155235951548e-13   -2.499753253467670904e-21   -5.138413175586453291e-10   -4.726809424442759375e-23   -5.142112674741689449e-10   -2.547021347712098492e-21
+1.033534333750001679e+03   +1.107302669921523476e-07   -3.125608197540631480e-21   +1.142018436318330092e-07   -2.499750869512648855e-21   -8.575454792403782137e-09   +4.517917547697790945e-23   +1.056263888394292254e-07   -2.454571694035670845e-21
+2.067068667500003357e+03   -7.842427447230472700e-08   -3.124687990902055368e-21   -8.360715366998107941e-08   -3.749637032066572880e-21   +5.253202730834510650e-09   +3.745642008653989482e-25   -7.835395093914656793e-08   -3.749262467865707551e-21
+3.100603001250001398e+03   +2.054168263498238890e-08   -3.124564025240900152e-21   +2.188805541846503864e-08   -3.124692758812099843e-21   -6.797150509724873774e-10   -5.220314681357785724e-24   +2.120834036749255271e-08   -3.129913073493457793e-21
+4.134137335000003077e+03   -1.817202170111050279e-09   -2.499777093017893278e-21   -1.853037107931458060e-09   -3.749627496246483930e-21   -1.305364731588543970e-10   -9.556394807902528291e-25   -1.983573581090312380e-09   -3.750583135727274360e-21
+5.167671668750001118e+03   -5.635323826406182293e-11   -3.124692758812099843e-21   -7.582437944412566960e-11   -2.499758021377715379e-21   +3.186003688183695456e-11   +2.550826927899186579e-25   -4.396434256228871505e-11   -2.499502938684925507e-21
