# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +2.998051639008719621e-36   -9.255042147910189799e-47   +2.058211407982509198e-21   -3.749637032066572880e-21
-1.963715234124999552e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -9.205723755669357230e-47   +2.144198436267392454e-62   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.860361800749999747e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -5.811241357726828328e-43   +3.339189201847319566e-58   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.757008367374999580e+04   +2.389905373953889932e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +1.058134182846731156e-38   -2.226485557742751438e-53   +2.058211407982506189e-21   -3.749637032066572880e-21
-1.653654933999999776e+04   +2.389905373953842160e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -4.084910509470225690e-35   +4.329373244747455958e-50   +2.058211407982465187e-21   -3.749637032066572880e-21
-1.550301500624999608e+04   +2.389905374008789844e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +3.821026087806213875e-32   -1.994002380037642975e-46   +2.058211408020716338e-21   -3.749637032066572880e-21
-1.446948067249999804e+04   +2.389905419654766074e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   +5.288215022454133316e-29   -1.306050190822205776e-44   +2.058211460864656371e-21   -3.749637032066572880e-21
-1.343594633874999636e+04   +2.389791125404798229e-21   -2.499758021377715379e-21   +2.058211407982506189e-21   -3.749637032066572880e-21   -1.017218404026108361e-25   +2.981983088415210416e-41   +2.058109686142103514e-21   -3.749637032066572880e-21
-1.240241200499999650e+04   +2.451181698785304004e-21   -2.499758021377715379e-21   +2.078961352495895360e-21   -3.749637032066572880e-21   +4.719324693464611000e-23   -5.162038086097777312e-39   +2.126154599430541641e-21   -3.749637032066572880e-21
-1.136887767124999664e+04   -1.040509957269576901e-19   -3.124697526722143565e-21   -9.574573661714914119e-20   -4.374576537411001819e-21   -4.035858315770537730e-21   +3.100325482045716249e-35   -9.978159493291967441e-20   -4.374576537410970974e-21
-1.033534333749999678e+04   +1.080411457363848225e-17   -3.124697526722147703e-21   +1.229056181995364872e-17   -3.124697526722144318e-21   -1.590480546626926326e-18   -1.984839305803921762e-34   +1.070008127332672259e-17   -3.124697526722342929e-21
-9.301809003749996918e+03   +6.037375703322591104e-16   -3.124697526739620251e-21   +2.028204182393843963e-16   -3.124697526722144318e-21   +3.153511545275215483e-16   +1.536128077068930342e-30   +5.181715727669059693e-16   -3.124697525186016199e-21
-8.268274669999997059e+03   -1.605099992176021902e-13   -2.499758019612166122e-21   -1.348380346634592561e-13   -3.749637032066572880e-21   -1.626111985726733088e-14   -4.635691214060289671e-29   -1.510991545207265743e-13   -3.749637078423484708e-21
-7.234740336249997199e+03   +8.766671217819120041e-12   -2.499758080159937652e-21   +8.443614297322448128e-12   -3.124697526722142061e-21   +1.450525253486785625e-14   +2.895557817535747444e-28   +8.458119549857315438e-12   -3.124697237166360268e-21
-6.201206002499997339e+03   -1.670964969621461317e-10   -3.124697469099295760e-21   -1.820348440048912177e-10   -3.124697526721717754e-21   +1.570717344827959840e-11   -7.193909665759929331e-27   -1.663276705566116128e-10   -3.124704720631383607e-21
-5.167671668749997480e+03   +3.406215867584899126e-10   -2.499737507782320934e-21   +7.582389347486922639e-10   -3.124697526431134046e-21   -3.076669413767026463e-10   -4.680954395846672345e-25   +4.505719933719896176e-10   -3.125165621870718573e-21
-4.134137334999995801e+03   +2.155535197865783343e-08   -3.124999693021210510e-21   +1.853074170249120763e-08   -1.249878973439560423e-21   +1.428060182581076382e-09   +6.421010484466283570e-24   +1.995880188507228339e-08   -1.243457962955094177e-21
-3.100603001249997760e+03   -2.209446186917386296e-07   -2.498518364766161712e-21   -2.196127699244334201e-07   -3.124697526722144318e-21   +5.582842616851230514e-09   +8.334050653575714813e-23   -2.140299273075821920e-07   -3.041357020186387287e-21
-2.067068667499996081e+03   +7.918167234225435273e-07   -4.374738646352512457e-21   +8.407981283876480665e-07   -3.749617960426394981e-21   -5.058711757719711806e-08   +3.506038953350246993e-23   +7.902110108104509617e-07   -3.714557570892892458e-21
-1.033534333749998041e+03   -1.011936742093756470e-06   -2.508683548980901100e-21   -1.149042372953836284e-06   -3.124621240161433097e-21   +8.977706757883146761e-08   +3.417465337716734939e-22   -1.059265305375004777e-06   -2.782874706389759697e-21
+3.637978807091712952e-12   -9.475481222905759775e-08   -2.484500709235517536e-21   -3.762810936650566208e-10   -3.752078202009324415e-21   -4.649725825409039306e-09   -9.543807087751305470e-22   -5.026006919074096237e-09   -4.706458910784454774e-21
+1.033534333750001679e+03   +1.115571076695824929e-06   -2.511963871091473803e-21   +1.149823569009672307e-06   -3.752383348252168544e-21   -8.522051818936611795e-08   -1.500215615315175681e-22   +1.064603050820306295e-06   -3.902404909783686465e-21
+2.067068667500003357e+03   -7.894742807506305417e-07   -3.129579866607647386e-21   -8.413702957347703048e-07   -3.130190159093335646e-21   +5.260345470165450908e-08   +4.175675093942580601e-23   -7.887668410331157759e-07   -3.088433408153909740e-21
+3.100603001250001398e+03   +2.063077330357402718e-07   -3.754214225709232571e-21   +2.197647272820432558e-07   -3.130800451579023530e-21   -6.792397640701036466e-09   +4.239539208101619571e-23   +2.129723296413422309e-07   -3.088405059498007222e-21
+4.134137335000003077e+03   -1.818541853611914232e-08   -2.506166092477438345e-21   -1.854357903570342336e-08   -2.505860946234594591e-21   -1.304739294848303189e-09   -3.813889572522166480e-23   -1.984831833055172799e-08   -2.543999841959816415e-21
+5.167671668750001118e+03   -5.641121319355195076e-10   -3.130800451579023530e-21   -7.587279495086110751e-10   -3.755434810680608339e-21   +3.184438992573792603e-10   -4.806927892712676301e-26   -4.402840502512318149e-10   -3.755482879959535367e-21
+6.201206002500002796e+03   +1.645678293343142346e-10   -2.505555799991750461e-21   +1.821992092294628267e-10   -3.130495305336179400e-21   -1.753280911401166023e-11   +4.036102519898138455e-27   +1.646664001154511761e-10   -3.130491269233659356e-21
+7.234740336250000837e+03   -8.058278050797195675e-12   -3.755434810680608339e-21   -8.411609196011304272e-12   -2.505555799991750461e-21   +4.178373144763255425e-14   +6.014610188398911845e-28   -8.369825464563671737e-12   -2.505555198530731708e-21
+8.268274670000002516e+03   +1.792180218922813921e-13   -2.505860946234594591e-21   +1.728041507563242711e-13   -2.505555799991750461e-21   +1.657953824344181110e-14   +7.937044350798383154e-29   +1.893836889997660759e-13   -2.505555720621306990e-21
+9.301809003750000556e+03   +3.742415834474707994e-14   -2.505555799991750461e-21   +3.766945962798301817e-14   -3.755434810680608339e-21   -3.442521644586347153e-16   +1.534758635549071693e-30   +3.732520746352438301e-14   -3.755434809145849812e-21
+1.033534333750000224e+04   +3.786204670064944374e-14   -2.505860946234594591e-21   +3.786012144331981631e-14   -3.130495305336179400e-21   +1.878005484811619525e-18   -2.337930285064036262e-32   +3.786199944880463002e-14   -3.130495305359558760e-21
+1.136887767125000391e+04   +3.787251448333943335e-14   -3.130800451579023530e-21   +3.787251554025317895e-14   -3.130495305336179400e-21   +3.550006292115779364e-21   -1.300524161725285034e-34   +3.787251909025947184e-14   -3.130495305336309551e-21
