# t                         j_E_dir                     j_ortho                    
-2.067068667499999719e+04   -1.516193278581678670e-14   -8.539108984234363213e-13
-2.066655253766499663e+04   -1.516274378389451483e-14   -8.539108987673844217e-13
-2.066241840032999608e+04   -1.516356120335975031e-14   -8.539109021839350953e-13
-2.065828426299499552e+04   -1.516437380926562259e-14   -8.539109030323403828e-13
-2.065415012565999496e+04   -1.516518160971828016e-14   -8.539109028030416155e-13
-2.065001598832499440e+04   -1.516598342766518525e-14   -8.539109018629169220e-13
-2.064588185098999384e+04   -1.516676018449308303e-14   -8.539109010603714889e-13
-2.064174771365499328e+04   -1.516752014771296283e-14   -8.539109027801117893e-13
-2.063761357631999272e+04   -1.516824841512590594e-14   -8.539109056004858698e-13
-2.063347943898499216e+04   -1.516894928553624144e-14   -8.539109033992183095e-13
-2.062934530164999160e+04   -1.516961217012285285e-14   -8.539109050960286827e-13
-2.062521116431499104e+04   -1.517024556265865368e-14   -8.539109029406208759e-13
-2.062107702697999048e+04   -1.517083753348140949e-14   -8.539109036514469031e-13
-2.061694288964498992e+04   -1.517138943726160731e-14   -8.539109030552702090e-13
-2.061280875230998936e+04   -1.517189773405228449e-14   -8.539109031011299625e-13
-2.060867461497498880e+04   -1.517236656075792798e-14   -8.539109016336182557e-13
-2.060454047763998824e+04   -1.517279196599407342e-14   -8.539109048667300163e-13
-2.060040634030498768e+04   -1.517317635045105256e-14   -8.539109030782001363e-13
-2.059627220296998712e+04   -1.517351725701259104e-14   -8.539109027342520358e-13
-2.059213806563498656e+04   -1.517381508028425914e-14   -8.539109030782001363e-13
-2.058800392829998600e+04   -1.517407180916207879e-14   -8.539109028259715427e-13
-2.058386979096498544e+04   -1.517428988680821742e-14   -8.539109019546364289e-13
-2.057973565362998488e+04   -1.517446654727941641e-14   -8.539109026654624561e-13
-2.057560151629498432e+04   -1.517460863121930929e-14   -8.539109027113222096e-13
-2.057146737895998376e+04   -1.517471273434213844e-14   -8.539109014272494156e-13
-2.056733324162498320e+04   -1.517477971056766360e-14   -8.539109036973065555e-13
-2.056319910428998264e+04   -1.517481543222440076e-14   -8.539109013584598359e-13
-2.055906496695498208e+04   -1.517482083095038311e-14   -8.539108967724857016e-13
-2.055493082961998152e+04   -1.517479697772767446e-14   -8.539108993864909420e-13
-2.055079669228498096e+04   -1.517474277539618688e-14   -8.539109006934935622e-13
-2.054666255494998040e+04   -1.517466324815093346e-14   -8.539109028030416155e-13
-2.054252841761497984e+04   -1.517455788270033694e-14   -8.539109021151455156e-13
-2.053839428027997928e+04   -1.517442697319345695e-14   -8.539109017941273423e-13
-2.053426014294497872e+04   -1.517427351515279418e-14   -8.539108992947714351e-13
-2.053012600560997817e+04   -1.517409455397855646e-14   -8.539108992030519281e-13
-2.052599186827497761e+04   -1.517390001718952674e-14   -8.539109043622728293e-13
-2.052185773093997705e+04   -1.517368463550198378e-14   -8.539109047291507560e-13
-2.051772359360497649e+04   -1.517344663353887369e-14   -8.539109017024078354e-13
-2.051358945626997593e+04   -1.517318963678950652e-14   -8.539109050272391030e-13
-2.050945531893497537e+04   -1.517291036120442001e-14   -8.539109032387092229e-13
-2.050532118159997481e+04   -1.517261907592139840e-14   -8.539109009686519820e-13
-2.050118704426497425e+04   -1.517230525657782188e-14   -8.539109024132338626e-13
-2.049705290692997369e+04   -1.517197674985491178e-14   -8.539109026425325289e-13
-2.049291876959497313e+04   -1.517162533716543741e-14   -8.539109028947611224e-13
-2.048878463225997257e+04   -1.517125910217564415e-14   -8.539109021839350953e-13
-2.048465049492497201e+04   -1.517087057666900113e-14   -8.539109000285272885e-13
-2.048051635758997145e+04   -1.517047094499709344e-14   -8.539109009457221557e-13
-2.047638222025497089e+04   -1.517004604046105249e-14   -8.539109052565377693e-13
-2.047224808291997033e+04   -1.516960459902005349e-14   -8.539109039036753956e-13
-2.046811394558496977e+04   -1.516914325050248666e-14   -8.539109012208805755e-13
-2.046397980824996921e+04   -1.516866549747136045e-14   -8.539109020463559359e-13
-2.045984567091496865e+04   -1.516816873304829732e-14   -8.539109030094104556e-13
-2.045571153357996809e+04   -1.516764867934565930e-14   -8.539109001661065489e-13
-2.045157739624496753e+04   -1.516711195981100085e-14   -8.539109016336182557e-13
-2.044744325890996697e+04   -1.516655706230118438e-14   -8.539109000973168682e-13
-2.044330912157496641e+04   -1.516598545256214624e-14   -8.539108996157896083e-13
-2.043917498423996585e+04   -1.516539205770745633e-14   -8.539109007852130691e-13
-2.043504084690496529e+04   -1.516478154758595703e-14   -8.539109025737429492e-13
-2.043090670956996473e+04   -1.516415491631908824e-14   -8.539109015418987488e-13
-2.042677257223496417e+04   -1.516350934915945240e-14   -8.539109018170571686e-13
-2.042263843489996361e+04   -1.516284539799290188e-14   -8.539109015648286760e-13
-2.041850429756496305e+04   -1.516216224399721563e-14   -8.539109018399870958e-13
-2.041437016022996249e+04   -1.516146702806856988e-14   -8.539109038807455694e-13
-2.041023602289496193e+04   -1.516075453088367888e-14   -8.539109032157792957e-13
-2.040610188555996137e+04   -1.516002997346310050e-14   -8.539109017024078354e-13
-2.040196774822496081e+04   -1.515928425808739540e-14   -8.539109003724753889e-13
-2.039783361088996026e+04   -1.515852867761329981e-14   -8.539109041329741629e-13
-2.039369947355495970e+04   -1.515776359109614013e-14   -8.539109048896598426e-13
-2.038956533621995914e+04   -1.515698181459939128e-14   -8.539109013584598359e-13
-2.038543119888495858e+04   -1.515619442332878067e-14   -8.539109018629169220e-13
-2.038129706154995802e+04   -1.515539172557515613e-14   -8.539109028718312962e-13
