# f/f0                      Re(j_E_dir)                 Im(j_E_dir)                 Re(j_ortho)                 Im(j_ortho)                 I_E_dir                     I_ortho                    
-1.981500924231545184e+02   -1.205483650448760998e-13   -2.564112759495229111e-13   +7.363137565700100896e-14   +5.570755719768846334e-13   +1.493047300689976949e-34   +5.872505406791451356e-34
-1.981300934231118163e+02   -1.887291998858882153e-13   -2.265195204710797261e-13   +5.684808561150205541e-14   +5.963215477297149751e-13   +1.616421181662120430e-34   +6.672305154071874812e-34
-1.981100944230691141e+02   -2.573029203029172396e-13   -2.009983472418200500e-13   +3.436926719973236373e-14   +6.327348395390303371e-13   +1.981874961931550024e-34   +7.464851166770075410e-34
-1.980900954230263835e+02   -3.250853175551990024e-13   -1.801242634858427607e-13   +6.531635006676203878e-15   +6.656179102799253412e-13   +2.567340251117834272e-34   +8.235733446361298375e-34
-1.980700964229836814e+02   -3.908697892252263880e-13   -1.640626210954036374e-13   -2.624256227751247522e-14   +6.942999163333405795e-13   +3.339339240202115422e-34   +8.970920264245608098e-34
-1.980500974229409792e+02   -4.534621307141568894e-13   -1.528526963607302080e-13   -6.345062777367810120e-14   +7.181492016325012882e-13   +4.254564298877919086e-34   +9.656983199593281453e-34
-1.980300984228982770e+02   -5.117140817515419417e-13   -1.464223682979029068e-13   -1.045160807980188906e-13   +7.365854554614155591e-13   +5.262351317964636561e-34   +1.028136201244590348e-33
-1.980100994228555749e+02   -5.645386192269739760e-13   -1.445815629815817548e-13   -1.487968339698129655e-13   +7.490912040065851859e-13   +6.307207679656742200e-34   +1.083266517653575983e-33
-1.979901004228128727e+02   -6.109493886342206115e-13   -1.470269083368191272e-13   -1.955947803640413852e-13   +7.552223206554871932e-13   +7.332173078582301842e-34   +1.130099646636689829e-33
-1.979701014227701421e+02   -6.500856303277112997e-13   -1.533600571430855079e-13   -2.441666502941091998e-13   +7.546172697765518481e-13   +8.282209275876348390e-34   +1.167829348335573305e-33
-1.979501024227274399e+02   -6.812257866161605528e-13   -1.630919463014928236e-13   -2.937359590879500091e-13   +7.470048413842052030e-13   +9.107176364523474197e-34   +1.195866075142567682e-33
-1.979301034226847378e+02   -7.038163762799678410e-13   -1.756586148497538639e-13   -3.435058292997592224e-13   +7.322101868542106187e-13   +9.764962578642105131e-34   +1.213867809554095183e-33
-1.979101044226420356e+02   -7.174912647387628405e-13   -1.904388614720757381e-13   -3.926724344146942930e-13   +7.101590251068603026e-13   +1.022398725020294677e-33   +1.221766430280069657e-33
-1.978901054225993335e+02   -7.220671241625429692e-13   -2.067735485438670662e-13   -4.404387780487525579e-13   +6.808799504235193960e-13   +1.046446661690674347e-33   +1.219787629766986682e-33
-1.978701064225566029e+02   -7.175653970481663125e-13   -2.239770919027799887e-13   -4.860284951254865903e-13   +6.445048332989823092e-13   +1.047959187214712471e-33   +1.208462498263575317e-33
-1.978501074225139007e+02   -7.042098284253138052e-13   -2.413664851939673215e-13   -5.286993419939936901e-13   +6.012673608275706682e-13   +1.027542888802797016e-33   +1.188629036173385883e-33
-1.978301084224711701e+02   -6.824132279191486151e-13   -2.582750127861786776e-13   -5.677560334512060944e-13   +5.514998101599608917e-13   +9.869671715983505140e-34   +1.161422063070454022e-33
-1.978101094224284680e+02   -6.527838407521359708e-13   -2.740659289853202776e-13   -6.025620883595024553e-13   +4.956281856023663333e-13   +9.290234095788201931e-34   +1.128250284378962306e-33
-1.977901104223857658e+02   -6.160976914074539409e-13   -2.881602303217397626e-13   -6.325503636830050687e-13   +4.341658761334396891e-13   +8.572581551305012495e-34   +1.090759695632184354e-33
-1.977701114223430636e+02   -5.732873699393534138e-13   -3.000472262723000432e-13   -6.572319901139443063e-13   +3.677060057787544599e-13   +7.757030044405436832e-34   +1.050783090926464565e-33
-1.977501124223003615e+02   -5.254135835396432332e-13   -3.092920397337407128e-13   -6.762034707557675519e-13   +2.969126557470772800e-13   +6.885500561502895033e-34   +1.010276222640230029e-33
-1.977301134222576309e+02   -4.736440800538740368e-13   -3.155497514360199357e-13   -6.891517661099012684e-13   +2.225111366193835687e-13   +5.998676111307185330e-34   +9.712421275954230393e-34
-1.977101144222149287e+02   -4.192226737784352661e-13   -3.185898285188540518e-13   -6.958572611785585348e-13   +1.452774838094738210e-13   +5.133455197815671139e-34   +9.356462407347173081e-34
-1.976901154221722265e+02   -3.634332839807121987e-13   -3.182730327060530530e-13   -6.961945900302807772e-13   +6.602734273655354171e-14   +4.320372910127988961e-34   +9.053260642521674872e-34
-1.976701164221295244e+02   -3.075718371116522042e-13   -3.145759073812819912e-13   -6.901313750194654973e-13   -1.439559587598228232e-14   +3.582441316399007283e-34   +8.819002116317445811e-34
-1.976501174220868222e+02   -2.529175431639703973e-13   -3.075830755979771104e-13   -6.777250167992908527e-13   -9.513145352026495416e-14   +2.934356049595797439e-34   +8.666824441292204657e-34
-1.976301184220441201e+02   -2.006884935404053777e-13   -2.974813339280592027e-13   -6.591177421119082752e-13   -1.753161568728887680e-13   +2.382370626577141396e-34   +8.606067076775272055e-34
-1.976101194220013895e+02   -1.520291439664919525e-13   -2.845538112709775438e-13   -6.345301742682280102e-13   -2.540934047852826310e-13   +1.925245695612629782e-34   +8.641690391602763173e-34
-1.975901204219586873e+02   -1.079617632796800880e-13   -2.691793314741285227e-13   -6.042537323786879542e-13   -3.306264410286859906e-13   +1.555535167264932260e-34   +8.773914791479847649e-34
-1.975701214219159851e+02   -6.938041516909223202e-14   -2.517991288472528215e-13   -5.686421872022479364e-13   -4.041094566526060514e-13   +1.261294637387267163e-34   +8.998118164848734576e-34
-1.975501224218732830e+02   -3.702225129768490603e-14   -2.329312662124351273e-13   -5.281027030151782298e-13   -4.737784392720430491e-13   +1.028324170041222450e-34   +9.305011935945083992e-34
-1.975301234218305808e+02   -1.145683126521168708e-14   -2.131247519562370841e-13   -4.830866769428961142e-13   -5.389212839244670968e-13   +8.419234207761613437e-35   +9.681094886462660494e-34
-1.975101244217878502e+02   +6.940238712756426315e-15   -1.929762110855484270e-13   -4.340806521986848178e-13   -5.988869837057693454e-13   +6.890211981557992388e-35   +1.010936182553833340e-33
-1.974901254217451481e+02   +1.795870090772563074e-14   -1.730768475629525223e-13   -3.815975335229897318e-13   -6.530937300250227885e-13   +5.593768367122994137e-35   +1.057022357103759931e-33
-1.974701264217024459e+02   +2.159859303859716710e-14   -1.540132528183593677e-13   -3.261682766987682390e-13   -7.010357729845571651e-13   +4.467476100163263149e-35   +1.104257783304549167e-33
-1.974501274216597437e+02   +1.801659523014412588e-14   -1.363709300215284056e-13   -2.683341647750356811e-13   -7.422889220139554824e-13   +3.494284696116293097e-35   +1.150495927441122524e-33
-1.974301284216170416e+02   +7.566207627816601011e-15   -1.206488649617427119e-13   -2.086397269260175824e-13   -7.765146043313318738e-13   +2.698130530013118998e-35   +1.193669235428315409e-33
-1.974101294215743110e+02   -9.259925993247382704e-15   -1.073282264861844668e-13   -1.476263065369113732e-13   -8.034624419491357064e-13   +2.142261528497379079e-35   +1.231897277867010419e-33
-1.973901304215316088e+02   -3.183717504048359429e-14   -9.680143261365725459e-14   -8.582624691002164085e-14   -8.229713539037817112e-13   +1.916485943199801651e-35   +1.263581187961222959e-33
-1.973701314214888782e+02   -5.941886592386624184e-14   -8.938461051958777587e-14   -2.375763833679481114e-14   -8.349692358853033470e-13   +2.125730522678192432e-35   +1.287479170290682942e-33
-1.973501324214461761e+02   -9.117618306543735814e-14   -8.530036441151870467e-14   +3.808043993896167602e-14   -8.394713111313843460e-13   +2.875974086229560468e-35   +1.302759520726595206e-33
-1.973301334214034739e+02   -1.262062561111325200e-13   -8.466430097551345872e-14   +9.921224581158032073e-14   -8.365772812889069747e-13   +4.260001156545750672e-35   +1.309029377924984910e-33
-1.973101344213607717e+02   -1.635991906092780823e-13   -8.751172335688974529e-14   +1.591893161863532788e-13   -8.264674315830011272e-13   +6.347934049528165683e-35   +1.306339136604468146e-33
-1.972901354213180696e+02   -2.024230014050392747e-13   -9.374951913006372210e-14   +2.175940486239350689e-13   -8.093978595669909634e-13   +9.175111471228906817e-35   +1.295163938807416453e-33
-1.972701364212753390e+02   -2.417681251348756428e-13   -1.032179939760291637e-13   +2.740429183664138531e-13   -7.856950005058600377e-13   +1.273860908524355126e-34   +1.276364819823646668e-33
-1.972501374212326368e+02   -2.807813553631904054e-13   -1.156476487901506853e-13   +3.281892975156534403e-13   -7.557496156406178465e-13   +1.699454712443453827e-34   +1.251132876979541645e-33
-1.972301384211899347e+02   -3.186744718287371583e-13   -1.306822051505024480e-13   +3.797258178730793453e-13   -7.200103937326613207e-13   +2.185901748347525103e-34   +1.220920263826912102e-33
-1.972101394211472325e+02   -3.547558942862422457e-13   -1.479090388831854523e-13   +4.283862007747085465e-13   -6.789772936495224494e-13   +2.721502120901315919e-34   +1.187361944595238909e-33
-1.971901404211045303e+02   -3.884344970049174522e-13   -1.668540478470152016e-13   +4.739464688425524392e-13   -6.331947291384419097e-13   +3.291792542540870066e-34   +1.152192055975167571e-33
-1.971701414210618282e+02   -4.192352544289960379e-13   -1.870005271876639238e-13   +5.162254575414269616e-13   -5.832446693074778446e-13   +3.880504928715909194e-34   +1.117158504517918642e-33
-1.971501424210190976e+02   -4.468144411964350678e-13   -2.078096048620930675e-13   +5.550845592076407231e-13   -5.297397026235253411e-13   +4.470723954499792768e-34   +1.083939157163920864e-33
-1.971301434209763954e+02   -4.709568227792712079e-13   -2.287354086532171298e-13   +5.904266580931136302e-13   -4.733160909844010012e-13   +5.045823845460911492e-34   +1.054062715013093804e-33
-1.971101444209336933e+02   -4.915695715645499374e-13   -2.492390817103328074e-13   +6.221942501119924265e-13   -4.146268256270858104e-13   +5.590293009948345668e-34   +1.028837121008499284e-33
-1.970901454208909911e+02   -5.086754970100504980e-13   -2.688148980860543565e-13   +6.503667826934545485e-13   -3.543346895280105779e-13   +6.090581768694265903e-34   +1.009288134175504082e-33
-1.970701464208482889e+02   -5.224251638890573424e-13   -2.870131488542673137e-13   +6.749572950432188716e-13   -2.931053319741112334e-13   +6.536231891186333165e-34   +9.961104747108736130e-34
-1.970501474208055583e+02   -5.330480707606871782e-13   -3.034207431569821916e-13   +6.960084834601183641e-13   -2.316003697273832160e-13   +6.919302768558742143e-34   +9.896336592822422779e-34
-1.970301484207628562e+02   -5.408662210908561413e-13   -3.177199565499074055e-13   +7.135883563204229908e-13   -1.704705444756158343e-13   +7.235614951111030742e-34   +9.898042565785120520e-34
-1.970101494207201540e+02   -5.462627648753837438e-13   -3.296686655123879070e-13   +7.277856753449308815e-13   -1.103489862156630454e-13   +7.484221704858965681e-34   +9.961857631039256057e-34
