# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +2.581564798865845511e-39   +1.575965692574216005e-47   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.901703174099999887e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -1.624047628354192140e-45   -1.347804558849834292e-60   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.736337680699999692e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -2.239243106485663471e-39   +3.990739825659868667e-55   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.570972187299999678e+04   +1.768271910188999676e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -8.570169335009873107e-34   +8.521059293159763778e-52   +1.774507355699901739e-20   +1.199883850261303231e-20
-1.405606693899999664e+04   +1.768271902240205012e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -9.101832792432978763e-29   +3.345050260771494754e-44   +1.774507346598154831e-20   +1.199883850261303231e-20
-1.240241200499999650e+04   +1.768037192643888563e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -2.681427689590005756e-24   -8.528094217550357918e-40   +1.774239212931028495e-20   +1.199883850261303231e-20
-1.074875707099999636e+04   +1.555535115254319660e-19   +1.028471871652545584e-20   +1.759479513532408232e-19   +9.427658823481668354e-21   -2.190422783240736356e-20   +5.706210385161364588e-36   +1.540437235208334627e-19   +9.427658823481674372e-21
-9.095102136999996219e+03   +3.716705954611923664e-16   +1.114177860956924483e-20   +4.183586061996616147e-16   +1.114177860956924483e-20   -4.959317654443202542e-17   -1.924777378698489647e-32   +3.687654296552295831e-16   +1.114177860954999757e-20
-7.441447202999996080e+03   +2.798422982917135682e-13   +1.199883850261303231e-20   +3.093231285317338827e-13   +1.114177860956924483e-20   -3.110554105515703537e-14   -8.802304846217492372e-31   +2.782175874765768348e-13   +1.114177860868901359e-20
-5.787792268999995940e+03   +5.840539560323620177e-11   +1.114177860956924483e-20   +6.356015000417335312e-11   +1.114177860956924483e-20   -5.401951351938947697e-12   +1.851673743531434571e-27   +5.815819865223440380e-11   +1.114178046124298764e-20
-4.134137334999995801e+03   +3.334912764284759080e-09   +9.427658823481668354e-21   +3.584361865844222345e-09   +1.114177860956924483e-20   -2.596131673936163971e-10   -7.862020503114957171e-26   +3.324748698450606051e-09   +1.114169998936421349e-20
-2.480482400999997481e+03   +5.097622069206336270e-08   +1.114177860956924483e-20   +5.431531828860759963e-08   +1.199883850261303231e-20   -3.450899602981954698e-09   -1.067628403094903363e-24   +5.086441868562564327e-08   +1.199777087420993808e-20
-8.268274669999955222e+02   +2.027006700805675542e-07   +1.028471871652545584e-20   +2.150586761420620196e-07   +1.114177860956924483e-20   -1.268147302459237716e-08   +3.163343416577490970e-25   +2.023772031174696341e-07   +1.114209494391090283e-20
+8.268274670000027982e+02   +2.024216771685502960e-07   +1.028471871652545584e-20   +2.150598281976045871e-07   +1.285589839565682130e-20   -1.287587886735460251e-08   -1.423504537459871212e-24   +2.021839493302499730e-07   +1.285447489111936182e-20
+2.480482401000004756e+03   +5.074601857197621857e-08   +1.114177860956924483e-20   +5.431574965893643439e-08   +1.114177860956924483e-20   -3.610443354159206009e-09   +4.151888234257957013e-25   +5.070530630477722590e-08   +1.114219379839267020e-20
+4.134137335000003077e+03   +3.305958625665058592e-09   +1.114177860956924483e-20   +3.584412107253142175e-09   +1.457001818174439627e-20   -2.795628437693749388e-10   -5.934647721377602199e-26   +3.304849263483767340e-09   +1.456995883526718232e-20
+5.787792269000005035e+03   +5.758688569827374549e-11   +1.114177860956924483e-20   +6.358382202962764289e-11   +1.371295828870060879e-20   -5.976286270886573030e-12   -2.050452539549334859e-27   +5.760753575874107228e-11   +1.371295623824806894e-20
+7.441447203000003356e+03   +2.968604156212787948e-13   +1.114177860956924483e-20   +3.325178365802168051e-13   +1.028471871652545584e-20   -3.527014635158230163e-14   -5.008616112853107325e-30   +2.972476902286345288e-13   +1.028471871151684030e-20
+9.095102137000005314e+03   +2.355219421109728565e-14   +1.114177860956924483e-20   +2.361073557139780627e-14   +9.427658823481668354e-21   -5.747307025774066752e-17   +5.973678543728292340e-33   +2.355326250114006572e-14   +9.427658823487641746e-21
+1.074875707100000363e+04   +2.319252328138393047e-14   +1.028471871652545584e-20   +2.319254996518548739e-14   +1.028471871652545584e-20   -2.586527192879325830e-20   -7.859679834765983233e-34   +2.319252409991355986e-14   +1.028471871652467042e-20
+1.240241200500000559e+04   +2.319239118707351571e-14   +1.114177860956924483e-20   +2.319239115102093152e-14   +1.199883850261303231e-20   -3.214484966737326183e-24   +7.979916535962817947e-36   +2.319239114780644639e-14   +1.199883850261303984e-20
+1.405606693900000391e+04   +2.319239119014137053e-14   +1.114177860956924483e-20   +2.319239115102093152e-14   +1.199883850261303231e-20   -9.688154870185627275e-29   -1.025792854672194058e-37   +2.319239115102083370e-14   +1.199883850261303231e-20
+1.570972187300000223e+04   +2.319239119014137053e-14   +1.114177860956924483e-20   +2.319239115102093152e-14   +1.199883850261303231e-20   -1.088257094399231406e-31   +2.599784077940935432e-39   +2.319239115102093152e-14   +1.199883850261303231e-20
+1.736337680700000783e+04   +2.319239119014137053e-14   +1.114177860956924483e-20   +2.319239115102093152e-14   +1.199883850261303231e-20   -6.278408458330299030e-33   -5.248298804299628037e-41   +2.319239115102093152e-14   +1.199883850261303231e-20
+1.901703174100000615e+04   +2.319239119014137053e-14   +1.114177860956924483e-20   +2.319239115102093152e-14   +1.199883850261303231e-20   -1.347076794061290783e-34   +1.103967311972442169e-44   +2.319239115102093152e-14   +1.199883850261303231e-20
+2.067068667500000447e+04   +2.319239119014137053e-14   +1.114177860956924483e-20   +2.319239115102093152e-14   +1.199883850261303231e-20   +2.597648363146946727e-39   +1.570917284767346820e-47   +2.319239115102093152e-14   +1.199883850261303231e-20
