# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   +4.076802354468562475e-38   +8.327213290548605133e-48   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.901703174099999887e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -4.079423201788248322e-45   +3.712217510144103747e-62   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.736337680699999692e+04   +1.768271910189073403e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -5.624724376032530464e-39   -3.625762554375506518e-55   +1.774507355699987503e-20   +1.199883850261303231e-20
-1.570972187299999678e+04   +1.768271910188886828e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -2.152729206835073236e-33   +4.814792704133749191e-51   +1.774507355699772340e-20   +1.199883850261303231e-20
-1.405606693899999664e+04   +1.768271890222409983e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -2.286277029318175097e-28   -7.702037163999608234e-44   +1.774507332837217161e-20   +1.199883850261303231e-20
-1.240241200499999650e+04   +1.767682326372085237e-20   +1.199883850261303231e-20   +1.774507355699987503e-20   +1.199883850261303231e-20   -6.735441830555357223e-24   -1.684716831799650150e-40   +1.773833811516931891e-20   +1.199883850261303231e-20
-1.074875707099999636e+04   +3.640966418556141819e-19   +1.114177860956924483e-20   +4.154279781960078157e-19   +1.199883850261303231e-20   -5.502093268491838271e-20   +9.489792613990156069e-36   +3.604070455110894209e-19   +1.199883850261304134e-20
-9.095102136999996219e+03   +9.335668584900394435e-16   +1.199883850261303231e-20   +1.050842716320591254e-15   +8.570598930437880869e-21   -1.245724272574175828e-16   -3.321573743132315599e-32   +9.262702890631737454e-16   +8.570598930404664596e-21
-7.441447202999996080e+03   +7.029320453440023678e-13   +1.199883850261303231e-20   +7.769845421128785889e-13   +1.285589839565682130e-20   -7.813358652121410924e-14   +3.093668464182656656e-29   +6.988509555916644418e-13   +1.285589842659350645e-20
-5.787792268999995940e+03   +1.467077210169748054e-10   +1.114177860956924483e-20   +1.596558786546960127e-10   +1.114177860956924483e-20   -1.356908830486810989e-11   +5.407009511486288030e-27   +1.460867903498278947e-10   +1.114178401657875621e-20
-4.134137334999995801e+03   +8.376976080519441785e-09   +1.199883850261303231e-20   +9.003563932696488246e-09   +1.199883850261303231e-20   -6.521188433184978850e-10   -2.496075664643176827e-25   +8.351445089377989533e-09   +1.199858889504656808e-20
-2.480482400999997481e+03   +1.282186449325614081e-07   +1.285589839565682130e-20   +1.366062358591943862e-07   +1.028471871652545584e-20   -8.668459651194414435e-09   +3.796012099892989898e-24   +1.279377762079999767e-07   +1.028851472862534879e-20
-8.268274669999955222e+02   +5.102280376302896665e-07   +1.114177860956924483e-20   +5.412814727948502447e-07   +1.114177860956924483e-20   -3.186775633101230277e-08   -1.138803629967896970e-23   +5.094137164638379287e-07   +1.113039057326956597e-20
+8.268274670000027982e+02   +5.095393792986203729e-07   +1.114177860956924483e-20   +5.412997382042081150e-07   +1.199883850261303231e-20   -3.235901129814627906e-08   +1.391871103294095953e-23   +5.089407269060618690e-07   +1.201275721364597364e-20
+2.480482401000004756e+03   +1.276462150488822608e-07   +1.028471871652545584e-20   +1.366130755009919183e-07   +1.114177860956924483e-20   -9.069131108022504259e-09   +8.699194395588099708e-25   +1.275439443929694240e-07   +1.114264852900880432e-20
+4.134137335000003077e+03   +8.304938123777448031e-09   +1.114177860956924483e-20   +9.004362214112606593e-09   +1.028471871652545584e-20   -7.022105229928529228e-10   +1.504827794726865709e-25   +8.302151691119753774e-09   +1.028486919930492806e-20
+5.787792269000005035e+03   +1.449698013759427311e-10   +1.114177860956924483e-20   +1.600330023307321962e-10   +1.028471871652545584e-20   -1.501133292541696495e-11   -3.747920697770162942e-27   +1.450216694053152247e-10   +1.028471496860475766e-20
+7.441447203000003356e+03   +1.056977247764792825e-12   +1.285589839565682130e-20   +1.146542145255525569e-12   +1.114177860956924483e-20   -8.859215892303318958e-14   -1.508782677288940791e-29   +1.057949986332492467e-12   +1.114177859448141786e-20
+9.095102137000005314e+03   +3.704244491858594929e-13   +1.114177860956924483e-20   +3.705714947726716633e-13   +1.199883850261303231e-20   -1.443619023658281169e-16   -1.125959970078626713e-32   +3.704271328703058376e-13   +1.199883850260177315e-20
+1.074875707100000363e+04   +3.695209506815385806e-13   +1.114177860956924483e-20   +3.695210172799365309e-13   +1.285589839565682130e-20   -6.496768636915293959e-20   +1.270520646045928281e-33   +3.695209523122501849e-13   +1.285589839565809121e-20
+1.240241200500000559e+04   +3.695206195709682038e-13   +1.114177860956924483e-20   +3.695206193560703763e-13   +1.028471871652545584e-20   -8.052159925269992424e-24   +6.449003874111533401e-35   +3.695206193480182396e-13   +1.028471871652552054e-20
+1.405606693900000391e+04   +3.695206195521642337e-13   +1.114177860956924483e-20   +3.695206193560703763e-13   +1.028471871652545584e-20   -6.394502118463449752e-29   -3.871910606791118064e-37   +3.695206193560703258e-13   +1.028471871652545584e-20
+1.570972187300000223e+04   +3.695206195521642337e-13   +1.114177860956924483e-20   +3.695206193560703763e-13   +1.028471871652545584e-20   -1.718264724171133597e-30   -2.165926546662699479e-39   +3.695206193560703763e-13   +1.028471871652545584e-20
+1.736337680700000783e+04   +3.695206195521642337e-13   +1.114177860956924483e-20   +3.695206193560703763e-13   +1.028471871652545584e-20   -9.980809965538574389e-32   -7.867526171198165768e-41   +3.695206193560703763e-13   +1.028471871652545584e-20
+1.901703174100000615e+04   +3.695206195521642337e-13   +1.114177860956924483e-20   +3.695206193560703763e-13   +1.028471871652545584e-20   -2.137425888755454768e-33   +8.574594443439750825e-43   +3.695206193560703763e-13   +1.028471871652545584e-20
+2.067068667500000447e+04   +3.695206195521642337e-13   +1.114177860956924483e-20   +3.695206193560703763e-13   +1.028471871652545584e-20   +4.102506130808368193e-38   +8.467031777574673854e-48   +3.695206193560703763e-13   +1.028471871652545584e-20
