# Original data was compressed by a factor of 5000; data points taken in the publication are the last data points, those are identical with the original data 
# t                         j_E_dir                     j_ortho                     j_intra_E_dir               j_intra_ortho               dtP_E_dir                   dtP_ortho                   j_intra_plus_dtP_E_dir      j_intra_plus_dtP_ortho     
-2.067068667499999719e+04   +1.302580795687012519e-19   +1.036936660719644981e-20   +1.298550514525231294e-19   +1.036936660719644981e-20   -1.504284839766830748e-31   +3.601146669366790616e-44   +1.298550514523726902e-19   +1.036936660719644981e-20
-1.901703174099999887e+04   +1.302580795687012519e-19   +1.036936660719644981e-20   +1.298550514525231294e-19   +1.036936660719644981e-20   -1.441856896147842612e-42   +4.862208002169634719e-58   +1.298550514525231294e-19   +1.036936660719644981e-20
-1.736337680699999692e+04   +1.302580795687012519e-19   +1.036936660719644981e-20   +1.298550514525231294e-19   +1.036936660719644981e-20   -1.977453067696740283e-36   +2.299447661740590330e-51   +1.298550514525231294e-19   +1.036936660719644981e-20
-1.570972187299999678e+04   +1.302580795680380338e-19   +1.036936660719644981e-20   +1.298550514525231294e-19   +1.036936660719644981e-20   -7.531116838079850020e-31   +3.289941141870082726e-47   +1.298550514517700185e-19   +1.036936660719644981e-20
-1.405606693899999664e+04   +1.302580093460970636e-19   +1.036936660719644981e-20   +1.298550514525231294e-19   +1.036936660719644981e-20   -7.962413677023095748e-26   -6.858975359137320047e-41   +1.298549718283863525e-19   +1.036936660719644981e-20
-1.240241200499999650e+04   +1.403555556197785622e-19   +1.036936660719644981e-20   +1.423205693172290116e-19   +1.036936660719644981e-20   -2.336181138187619079e-21   -6.753030366997348863e-37   +1.399843881790413959e-19   +1.036936660719644981e-20
-1.074875707099999636e+04   +1.062844972780954140e-16   +9.332429946476814613e-21   +1.241477166297505872e-16   +1.036936660719644981e-20   -1.901383518787056139e-17   -3.583639609919388818e-33   +1.051338814418800227e-16   +1.036936660719286578e-20
-9.095102136999996219e+03   +2.872522279990434114e-13   +9.332429946495276457e-21   +3.278054833714096540e-13   +1.036936660719644981e-20   -4.290821263371485196e-14   +1.536749320906435512e-29   +2.848972707376947831e-13   +1.036936662256394287e-20
-7.441447202999996080e+03   +2.168627630852669279e-10   +1.036936660837480899e-20   +2.423806557374553145e-10   +1.140630326791582923e-20   -2.683534933230957613e-11   +1.091598550938632995e-26   +2.155453064051457352e-10   +1.140631418390133812e-20
-5.787792268999995940e+03   +4.536220571612114849e-08   +9.332425268516914793e-21   +4.981052896915415096e-08   +9.332429934888134531e-21   -4.648850844555059207e-09   -1.745459846739666612e-24   +4.516167812459909010e-08   +9.330684475041395476e-21
-4.134137334999995801e+03   +2.626227058088880915e-06   +9.332588170454575334e-21   +2.842385683058865336e-06   +9.332398301681251034e-21   -2.248989163003078493e-07   +1.952968989256316326e-22   +2.617486766758557381e-06   +9.527695200606882196e-21
-2.480482400999997481e+03   +2.788155312076217739e-05   -7.274758760361259452e-21   +3.075305376683592893e-05   -4.163948778202324508e-21   -4.189450238516695590e-06   +1.255722364789498271e-20   +2.656360352831923250e-05   +8.393274869692657450e-21
-8.268274669999955222e+02   +2.314056678842086429e-04   -2.132201008604769857e-20   +2.393206548776613009e-04   -2.112758446216276659e-20   -1.016636504229200848e-05   +3.140721996322944321e-20   +2.291542898353692958e-04   +1.027963550106667662e-20
+8.268274670000027982e+02   +3.893924120647016571e-04   -1.840562572777369786e-20   +3.970540539882560691e-04   -1.011013244201653800e-20   -8.421947477952345352e-06   +5.011522511814424758e-20   +3.886321065103036983e-04   +4.000509267612771258e-20
+2.480482401000004756e+03   +1.283825738169003185e-04   -2.747882150907059464e-20   +1.295121267431900561e-04   -2.747882150907059464e-20   -1.229553739174370685e-06   -1.412345599472754048e-20   +1.282825730040156986e-04   -4.160227750379813513e-20
+4.134137335000003077e+03   +2.674517033183928960e-05   -2.747882150907059464e-20   +2.684458327141191170e-05   -3.577431479482775449e-20   -9.953571690625338896e-08   -1.162189989787366139e-23   +2.674504755450565757e-05   -3.578593669472562851e-20
+5.787792269000005035e+03   +1.964975761548575262e-05   -2.799728983943041525e-20   +1.965188963842319687e-05   -1.918332822331343178e-20   -2.129895605975719939e-09   -6.031416959297528315e-25   +1.964975974281722265e-05   -1.918393136500936227e-20
+7.441447203000003356e+03   +1.952337278893832203e-05   -2.747882150907059464e-20   +1.952338553864272434e-05   -2.696035317871076801e-20   -1.270978464609879717e-11   -1.395132486321412048e-27   +1.952337282885807681e-05   -2.696035457384325535e-20
+9.095102137000005314e+03   +1.952275795642187327e-05   -2.747882150907059464e-20   +1.952275797830224202e-05   -1.970179655367325540e-20   -2.177972832941393917e-14   -3.213216394214948176e-29   +1.952275795652251434e-05   -1.970179658580541943e-20
+1.074875707100000363e+04   +1.952275712873592086e-05   -2.592341651799112454e-21   +1.952275712873648329e-05   -1.970179655367325540e-20   -8.544545245124971063e-21   +1.824733882285375653e-30   +1.952275712873647313e-05   -1.970179655184852104e-20
+1.240241200500000559e+04   +1.952275712841504106e-05   -2.747882150907059464e-20   +1.952275712841497669e-05   -1.918332822331343178e-20   +1.151203761841839913e-19   -2.138640437783328421e-33   +1.952275712841509189e-05   -1.918332822331557137e-20
+1.405606693900000391e+04   +1.952275712841490215e-05   -3.577431479482775449e-20   +1.952275712841493942e-05   -1.970179655367325540e-20   +1.044693243325255831e-21   +3.453022567259510111e-34   +1.952275712841493942e-05   -1.970179655367290933e-20
+1.570972187300000223e+04   +1.952275712841490215e-05   -3.577431479482775449e-20   +1.952275712841493942e-05   -1.970179655367325540e-20   -2.500291408557027892e-24   -1.392346861140346788e-36   +1.952275712841493942e-05   -1.970179655367325540e-20
+1.736337680700000783e+04   +1.952275712841490215e-05   -3.577431479482775449e-20   +1.952275712841493942e-05   -1.970179655367325540e-20   +3.699132034928276566e-25   +2.175542586466894170e-37   +1.952275712841493942e-05   -1.970179655367325540e-20
+1.901703174100000615e+04   +1.952275712841490215e-05   -3.577431479482775449e-20   +1.952275712841493942e-05   -1.970179655367325540e-20   +6.519328332527759215e-28   -5.438856474020884770e-39   +1.952275712841493942e-05   -1.970179655367325540e-20
+2.067068667500000447e+04   +1.952275712841490215e-05   -3.577431479482775449e-20   +1.952275712841493942e-05   -1.970179655367325540e-20   -1.499709253216389679e-31   +3.645762645801434102e-44   +1.952275712841493942e-05   -1.970179655367325540e-20
